Entity,Year,Coal production (TWh),Oil production (TWh),Gas production (TWh),Annual change coal production (%),Annual change in coal production (TWh),Annual change oil production (%),Annual change in oil production (TWh),Annual change gas production (%),Annual change in gas production (TWh),Coal production per capita (kWh),Oil production per capita (kWh),Gas production per capita (kWh)
Italy,1957,9.297053826526,14.677071741648,53.157885304052,-4.674047717878604,-0.4558556424619997,121.79261862917396,8.059596447672,11.69092943037333,5.564150006871998,190.31060809231968,300.4395263581429,1088.141433391714
Italy,1958,7.92025911398,17.979994383984003,55.161831907208,-14.808935585785065,-1.3767947125460012,22.50396196513473,3.302922642336004,3.769801209536161,2.0039466031560025,161.27589317817146,366.11676611655474,1123.2301345389535
Italy,1959,8.995722752128,19.712865770280004,65.20288410671,13.578642095808524,1.0754636381479994,9.637774902975416,1.7328713862960008,18.202898367104314,10.041052199501998,182.1438963336843,399.1428235660485,1320.2171399269052
Italy,1960,7.935877459808001,23.236758589392004,68.720450254094,-11.781658033750375,-1.0598452923199986,17.876106194690266,3.523892819112,5.394801465572008,3.5175661473840023,159.67560281303824,467.54041427348096,1382.7052365008851
Italy,1961,9.758929751582,22.934378347488,73.15471546817,22.972283796051784,1.8230522917739995,-1.3013013013013164,-0.3023802419040038,6.45261373823991,4.434265214075992,194.9758201786542,458.21102748117954,1461.5742721203949
Italy,1962,9.972016588718002,21.003796803024,76.224591257402,2.183506209801944,0.2130868371360019,-8.41784989858011,-1.930581544463997,4.196415459462366,3.0698757892320003,197.6927280583245,416.3950042231474,1511.133405840411
Italy,1963,8.101253980998,20.747936598336,77.47172836622201,-18.760123301805557,-1.8707626077200012,-1.218161683277974,-0.2558602046880018,1.6361348591671376,1.247137108820013,159.29789957916472,407.9742134327513,1523.354734273675
Italy,1964,6.767606525192,31.040494832376,83.82466594856801,-16.462234845792445,-1.333647455806001,49.60762331838566,10.29255823404,8.200330257658116,6.3529375823460015,131.99162376283812,605.3965017138845,1634.8695404709697
Italy,1965,,2.6493161194512005e-05,,0.0,,-99.99991464968151,-31.040468339214808,0.0,,,0.0005126683281636,
Italy,1966,,2.1515517212400004e-05,,0.0,,-18.78841088674276,-4.977643982112001e-06,0.0,,,0.0004132592668958,
Italy,1967,,2.0038506030792003e-05,,0.0,,-6.864864864864861,-1.4770111816080005e-06,0.0,,,0.0003821735554096,
Italy,1968,,1.8922025137608e-05,,0.0,,-5.571677307022648,-1.116480893184002e-06,0.0,,,0.0003584056281391,
Italy,1969,,1.8503344802664e-05,,0.0,,-2.212661339889377,-4.186803349440021e-07,0.0,,,0.0003481016800425,
Italy,1970,,1.7468273974608e-05,125.8156006524,0.0,,-5.593966059082334,-1.0350708280559983e-06,50.09376921298585,,,0.0003263938783349,2350.8585857807507
Italy,1971,,1.5735402588312003e-05,128.2021025616,0.0,,-9.920106524633807,-1.7328713862959983e-06,1.8968251129630296,2.386501909200007,,0.0002919965593778,2379.003183610756
Italy,1972,,1.407231125784e-05,135.8733586986,0.0,,-10.569105691056912,-1.6630913304720014e-06,5.983721002792475,7.671256137,,0.0002593544160017,2504.162603413259
Italy,1973,,1.2851160280920002e-05,146.75261740200003,0.0,,-8.677685950413217,-1.2211509769199992e-06,8.006910852577676,10.879258703400012,,0.0002352873593606,2686.8418938830814
Italy,1974,,1.2839530271616002e-05,146.48461718759998,0.0,,-0.0904977375565607,-1.1630009304000055e-08,-0.1826203982896679,-0.2680002144000468,,0.0002336244090326,2665.3920664434654
Italy,1975,,1.4363061490440004e-05,139.61836169460005,0.0,,11.865942028985522,1.5235312188240007e-06,-4.687356000122844,-6.866255492999954,,0.0002598943543009,2526.3432858879946
Italy,1976,,1.5037602030072004e-05,150.028870023,0.0,,4.696356275303648,6.745405396319999e-07,7.456403442959614,10.41050832839997,,0.0002707623974588,2701.3732943750224
Italy,1977,,1.4490991592784002e-05,131.6121052896,0.0,,-3.6349574632637327,-5.46610437288001e-07,-12.275480532897854,-18.416764733399987,,0.0002597976190036,2359.5701762271865
Italy,1978,,1.7317083853656e-05,131.455105164,0.0,,19.50240770465488,2.826092260871998e-06,-0.1192900343433778,-0.1570001256000068,,0.0003092943944999,2347.873781707121
Italy,1979,,1.9968725974968e-05,128.2586026068,0.0,,15.312290127602424,2.6516421213119995e-06,-2.4316305960214613,-3.196502557200006,,0.0003554545547183,2283.0752715796216
Italy,1980,,1.9852425881928e-05,119.356345485,0.0,,-0.5824111822947065,-1.1630009304000057e-07,-6.94086551768498,-8.902257121799991,,0.0003523119466526,2118.1626201884683
Italy,1981,,1.7293823835048004e-05,133.758857007,0.0,,-12.888107791446956,-2.558602046879996e-06,12.066816777504297,14.402511521999983,,0.0003060582928067,2367.203911282187
Italy,1982,,2.050370640295201e-05,137.34085987260002,0.0,,18.560860793544062,3.209882567904002e-06,2.6779556477613875,3.582002865600032,,0.0003619685127187,2424.589281888958
Italy,1983,,2.6062850850264003e-05,123.14959851960003,0.0,,27.112875779920564,5.559144447311997e-06,-10.332876440532024,-14.191261352999987,,0.0004591359261915,2169.4635518294726
Italy,1984,,2.6435011147992004e-05,130.3393542714,0.0,,1.4279339580544503,3.721602977280018e-07,5.838229144251472,7.189755751799964,,0.0004648894913738,2292.164575759281
Italy,1985,,2.7725942180736004e-05,134.1923573538,0.0,,4.88341399032115,1.2909310327439996e-06,2.9561317868562087,3.8530030823999937,,0.0004869582552775,2356.856830423099
Italy,1986,,2.9749563799632007e-05,150.376370301,0.0,,7.298657718120816,2.023621618896003e-06,12.060308996980096,16.184012947200017,,0.0005220687175282,2638.922685332725
Italy,1987,,4.576408661124e-05,154.1183732946,0.0,,53.83111806098511,1.6014522811607994e-05,2.4884248676237064,3.742002993599982,,0.0008027660435595,2703.451678617036
Italy,1988,,5.6254355003448005e-05,156.64087531259997,0.0,,22.92249047013979,1.0490268392208004e-05,1.6367302379828308,2.522502017999983,,0.0009866069487433,2747.21798927707
Italy,1989,,5.354456283561601e-05,160.1128780902,0.0,,-4.817035352491206,-2.709792167831993e-06,2.216536884559117,3.4720027776000397,,0.0009389006090868,2807.569448705045
Italy,1990,,5.4288883431072e-05,163.1661305328,0.0,,1.3900955690703487,7.443205954559901e-07,1.9069374550121587,3.053252442599984,,0.0009516351744333,2860.155141859487
Italy,1991,,5.0381200304928e-05,164.11088128859998,0.0,,-7.19794344473007,-3.907683126143999e-06,0.5790115587806177,0.944750755799987,,0.0008825182228301,2874.7001346797924
Italy,1992,,5.2346671877304006e-05,171.35088708060002,0.0,,3.9012003693444255,1.965471572376003e-06,4.411654934244114,7.240005792000034,,0.0009160324066375,2998.528079107534
Italy,1993,,5.396324317056e-05,182.377645902,0.0,,3.088202621639624,1.6165712932559944e-06,6.435192142432977,11.026758821399994,,0.0009434463297765,3188.531870030421
Italy,1994,,5.692889554308e-05,192.426403941,0.0,,5.49568965517242,2.965652372520001e-06,5.509862784608854,10.048758039000006,,0.0009950168759932,3363.2747918516447
Italy,1995,,6.0894728715744014e-05,190.1121520896,0.0,,6.966292134831487,3.965833172664013e-06,-1.2026685548359617,-2.31425185140003,,0.0010650772854049,3325.150454570259
Italy,1996,,6.340681072540801e-05,190.308902247,0.0,,4.125286478227652,2.5120820096639988e-06,0.1034916259889051,0.1967501574000323,,0.0011111331065523,3334.9496582318416
Italy,1997,,6.917529534019201e-05,184.85899788708,0.0,,9.0975788701394,5.768484614784001e-06,-2.863714884365532,-5.449904359919998,,0.0012156490816145,3248.611659761704
Italy,1998,,6.538391230708801e-05,182.381805905328,0.0,,-5.480833893745807,-3.791383033104005e-06,-1.3400440390059831,-2.4771919817520143,,0.001152281555559,3214.1727773527664
Italy,1999,,5.832449665956e-05,167.681474145072,0.0,,-10.796869441479906,-7.059415647528008e-06,-8.06019640351996,-14.700331760256006,,0.0010294496021526,2959.6419469265743
Italy,2000,,5.333522266814401e-05,159.586987669488,0.0,,-8.554336989032885,-4.989273991415991e-06,-4.827299209321689,-8.094486475584006,,0.0009407892236672,2814.982496110351
Italy,2001,,4.8008678406912005e-05,146.2473669978,0.0,,-9.986916703009165,-5.326544261232006e-06,-8.358839819268338,-13.33962067168801,,0.0008441086313303,2571.382276884395
Italy,2002,,6.432558146042402e-05,140.304432243456,0.0,,33.98740310077522,1.6316903053512012e-05,-4.063618290258441,-5.94293475434398,,0.0011249074280891,2453.6039075154504
Italy,2003,,6.477915182328002e-05,133.22175657732,0.0,,0.7051166154402599,4.535703628560022e-07,-5.048076923076916,-7.082675666135998,,0.001125321841801,2314.2839672947102
Italy,2004,,6.3604520883576e-05,124.359689487672,0.0,,-1.8132854578097213,-1.174630939704019e-06,-6.652116979484946,-8.862067089648008,,0.0010976137378956,2146.056628143715
Italy,2005,,7.107098685674401e-05,115.82326265853602,0.0,,11.738891936368637,7.4664659731680095e-06,-6.864303750116885,-8.536426829135976,,0.0012194537989523,1987.3245596083805
