Entity,Year,Significant earthquake events (NGDC-NASA)
Italy,1893,1
Italy,1894,1
Italy,1895,2
Italy,1896,1
Italy,1897,1
Italy,1898,1
Italy,1899,0
Italy,1900,0
Italy,1901,0
Italy,1902,0
Italy,1903,2
Italy,1904,0
Italy,1905,2
Italy,1906,1
Italy,1907,2
Italy,1908,1
Italy,1909,4
Italy,1910,1
Italy,1911,1
Italy,1912,0
Italy,1913,1
Italy,1914,2
Italy,1915,1
Italy,1916,1
Italy,1917,4
Italy,1918,0
Italy,1919,4
Italy,1920,1
Italy,1921,3
Italy,1922,1
Italy,1923,2
Italy,1924,2
Italy,1925,5
Italy,1926,3
Italy,1927,7
Italy,1928,3
Italy,1929,0
Italy,1930,4
Italy,1931,7
Italy,1932,0
Italy,1933,2
Italy,1934,0
Italy,1935,1
Italy,1936,0
Italy,1937,0
Italy,1938,0
Italy,1939,1
Italy,1940,1
Italy,1941,1
Italy,1942,0
Italy,1943,1
Italy,1944,0
Italy,1945,0
Italy,1946,0
Italy,1947,0
Italy,1948,1
Italy,1949,1
Italy,1950,0
Italy,1951,1
Italy,1952,0
Italy,1953,0
Italy,1954,0
Italy,1955,0
Italy,1956,0
Italy,1957,0
Italy,1958,2
Italy,1959,3
Italy,1960,0
Italy,1961,1
Italy,1962,1
Italy,1963,1
Italy,1964,0
Italy,1965,0
Italy,1966,0
Italy,1967,0
Italy,1968,3
Italy,1969,1
Italy,1970,0
Italy,1971,2
Italy,1972,2
Italy,1973,1
Italy,1974,0
Italy,1975,0
Italy,1976,4
Italy,1977,0
Italy,1978,3
Italy,1979,1
Italy,1980,2
Italy,1981,1
Italy,1982,1
Italy,1983,1
Italy,1984,3
Italy,1985,1
Italy,1986,0
Italy,1987,1
Italy,1988,0
Italy,1989,0
Italy,1990,2
Italy,1991,0
Italy,1992,0
Italy,1993,0
Italy,1994,0
Italy,1995,0
Italy,1996,0
Italy,1997,2
Italy,1998,1
Italy,1999,0
Italy,2000,0
Italy,2001,0
Italy,2002,3
Italy,2003,2
Italy,2004,1
Italy,2005,0
Italy,2006,0
Italy,2007,0
Italy,2008,0
Italy,2009,2
Italy,2010,0
Italy,2011,0
Italy,2012,3
Italy,2013,0
Italy,2014,0
Italy,2015,0
Italy,2016,3
Italy,2017,2
