Entity,Year,Nickel Production (Clio-Infra & USGS),Tungsten Production (Clio-Infra & USGS),Zinc Production (Clio-Infra & USGS),Silver Production (Clio-Infra & USGS),Bauxite Production (Clio-Infra & USGS),Iron Ore Production (Clio-Infra & USGS),Gold Production (Clio-Infra & USGS),Tin Production (Clio-Infra & USGS),Lead Production (Clio-Infra & USGS),Copper Production (Clio-Infra & USGS),Aluminium Production (Clio-Infra & USGS),Manganese Production (Clio-Infra & USGS)
Italy,1900,,0.0,47.0,23.0,0.0,0.0,0.0,0.0,24.0,,0.0,0.0
Italy,1901,,0.0,56.0,30.0,0.0,0.0,0.0,0.0,26.0,,0.0,0.0
Italy,1902,,0.0,56.0,30.0,0.0,0.0,0.0,0.0,27.0,,0.0,0.0
Italy,1903,,0.0,68.0,25.0,0.0,0.0,0.0,0.0,22.0,,0.0,0.0
Italy,1904,,0.0,65.0,24.0,0.0,0.0,0.0,0.0,24.0,,0.0,0.0
Italy,1905,,0.0,64.0,24.0,1.0,0.0,0.0,0.0,19.0,,0.0,0.0
Italy,1906,,0.0,67.0,21.0,1.0,0.0,0.0,0.0,21.0,,0.0,0.0
Italy,1907,,0.0,69.0,23.0,4.0,1.0,0.0,0.0,23.0,,0.0,0.0
Italy,1908,,0.0,65.0,21.0,7.0,1.0,0.0,0.0,26.0,,1.0,0.0
Italy,1909,,0.0,51.0,25.0,4.0,1.0,0.0,0.0,22.0,,1.0,0.0
Italy,1910,,0.0,55.0,15.0,5.0,1.0,0.0,0.0,15.0,,1.0,0.0
Italy,1911,,0.0,52.0,31.0,6.0,0.0,0.0,0.0,17.0,,1.0,0.0
Italy,1912,,0.0,57.0,14.0,7.0,1.0,0.0,0.0,22.0,,1.0,0.0
Italy,1913,,0.0,64.0,13.0,7.0,1.0,0.0,0.0,22.0,,1.0,2.0
Italy,1914,,0.0,58.0,15.0,4.0,1.0,0.0,0.0,21.0,,1.0,2.0
Italy,1915,,0.0,34.0,15.0,6.0,1.0,0.0,0.0,22.0,,1.0,13.0
Italy,1916,,0.0,40.0,15.0,9.0,1.0,0.0,0.0,24.0,,1.0,18.0
Italy,1917,,0.0,34.0,11.0,8.0,1.0,0.0,0.0,16.0,,2.0,25.0
Italy,1918,,0.0,29.0,10.0,8.0,1.0,0.0,0.0,18.0,,2.0,32.0
Italy,1919,,0.0,35.0,8.0,3.0,1.0,0.0,0.0,17.0,,2.0,31.0
Italy,1920,,0.0,39.0,9.0,13.0,0.0,0.0,0.0,22.0,,1.0,36.0
Italy,1921,,0.0,28.0,7.0,49.0,0.0,0.0,0.0,15.0,,1.0,5.0
Italy,1922,,0.0,40.0,7.0,67.0,0.0,0.0,0.0,15.0,,1.0,5.0
Italy,1923,,0.0,53.0,10.0,98.0,0.0,0.0,0.0,20.0,,2.0,10.0
Italy,1924,,0.0,59.0,15.0,141.0,0.0,0.0,0.0,21.0,,2.0,12.0
Italy,1925,,0.0,69.0,10.0,195.0,0.0,0.0,0.0,28.0,,2.0,15.0
Italy,1926,,0.0,71.0,16.0,91.0,1.0,0.0,0.0,29.0,,2.0,14.0
Italy,1927,,0.0,85.0,17.0,95.0,1.0,0.0,0.0,30.0,,3.0,10.0
Italy,1928,,0.0,85.0,24.0,162.0,1.0,0.0,0.0,32.0,,4.0,4.0
Italy,1929,,0.0,87.0,19.0,193.0,1.0,0.0,0.0,31.0,,7.0,4.0
Italy,1930,,0.0,80.0,16.0,161.0,1.0,0.0,0.0,30.0,,8.0,4.0
Italy,1931,,0.0,47.0,14.0,67.0,1.0,0.0,0.0,24.0,,11.0,2.0
Italy,1932,,0.0,32.0,12.0,87.0,0.0,0.0,0.0,22.0,,13.0,0.0
Italy,1933,,0.0,29.0,11.0,95.0,1.0,0.0,0.0,18.0,,12.0,2.0
Italy,1934,,0.0,46.0,30.0,131.0,0.0,0.0,0.0,19.0,,13.0,3.0
Italy,1935,,0.0,62.0,27.0,170.0,1.0,0.0,0.0,25.0,,14.0,3.0
Italy,1936,,0.0,68.0,43.0,262.0,1.0,0.0,0.0,30.0,,16.0,9.0
Italy,1937,,0.0,74.0,46.0,387.0,1.0,0.0,0.0,35.0,,23.0,11.0
Italy,1938,,0.0,108.0,25.0,361.0,1.0,0.0,0.0,41.0,,26.0,15.0
Italy,1939,,0.0,106.0,21.0,484.0,1.0,0.0,0.0,47.0,,34.0,12.0
Italy,1940,,0.0,82.0,23.0,571.0,1.0,0.0,0.0,47.0,,39.0,15.0
Italy,1941,,0.0,71.0,25.0,537.0,1.0,0.0,0.0,41.0,,48.0,16.0
Italy,1942,,0.0,76.0,20.0,509.0,1.0,0.0,0.0,32.0,,44.0,16.0
Italy,1943,,0.0,68.0,8.0,286.0,1.0,0.0,0.0,19.0,,46.0,11.0
Italy,1944,,0.0,21.0,3.0,41.0,0.0,0.0,0.0,4.0,,17.0,6.0
Italy,1945,,0.0,10.0,0.0,25.0,0.0,0.0,0.0,2.0,,4.0,1.0
Italy,1946,,0.0,25.0,10.0,66.0,0.0,0.0,0.0,14.0,,11.0,2.0
Italy,1947,,0.0,58.0,14.0,171.0,0.0,0.0,0.0,24.0,,25.0,8.0
Italy,1948,,0.0,74.0,21.0,153.0,1.0,1.0,0.0,30.0,,33.0,7.0
Italy,1949,,0.0,74.0,20.0,105.0,1.0,0.0,0.0,36.0,,26.0,8.0
Italy,1950,,0.0,87.0,27.0,153.0,1.0,0.0,0.0,39.0,,32.0,5.0
Italy,1951,,0.0,102.0,27.0,174.0,1.0,0.0,0.0,40.0,,49.0,9.0
Italy,1952,,0.0,112.0,26.0,266.0,1.0,0.0,0.0,41.0,,52.0,12.0
Italy,1953,,0.0,106.0,26.0,271.0,1.0,0.0,0.0,44.0,,56.0,12.0
