time,time_label,geo,geo_label,unit,unit_label,freq,freq_label,OBS_VALUE
2017,2017,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,39100.0
2018,2018,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,40000.0
2019,2019,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,40400.0
2020,2020,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,37900.0
2021,2021,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,42500.0
2022,2022,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,45900.0
2023,2023,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,49100.0
2024,2024,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,50400.0
2000,2000,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,14700.0
2001,2001,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,15500.0
2002,2002,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,16000.0
2003,2003,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,16400.0
2004,2004,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,16800.0
2005,2005,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,17300.0
2006,2006,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18000.0
2007,2007,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18500.0
2008,2008,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18500.0
2009,2009,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18000.0
2010,2010,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18000.0
2011,2011,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18300.0
2012,2012,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18200.0
2013,2013,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,17900.0
2014,2014,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18000.0
2015,2015,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18400.0
2016,2016,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18800.0
2017,2017,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,19200.0
2018,2018,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,19500.0
2019,2019,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,19900.0
2020,2020,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,18600.0
2021,2021,ITF,Sud,EUR_HAB,Euro per inhabitant,A,Annual,20700.0
