time,time_label,geo,geo_label,na_item,na_item_label,unit,unit_label,freq,freq_label,OBS_VALUE
2017,2017,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15850.0
2018,2018,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15970.0
2019,2019,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16000.0
2020,2020,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,14390.0
2021,2021,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15300.0
2022,2022,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16140.0
2023,2023,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16230.0
2024,2024,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16430.0
2025,2025,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16600.0
1995,1995,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,14330.0
1996,1996,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,14510.0
1997,1997,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15010.0
1998,1998,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15520.0
1999,1999,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15950.0
2000,2000,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16380.0
2001,2001,IT,Italy,P31_S14_S15,Household and NPISH final consumption expenditure,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16490.0
