time,time_label,geo,geo_label,na_item,na_item_label,direct,direct_label,unit,unit_label,freq,freq_label,OBS_VALUE
2021,2021,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,27200.0
2022,2022,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,29100.0
2023,2023,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,31100.0
2024,2024,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,32100.0
2000,2000,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,11300.0
2001,2001,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,11900.0
2002,2002,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,12300.0
2003,2003,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,12600.0
2004,2004,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,12800.0
2005,2005,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13100.0
2006,2006,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13600.0
2007,2007,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,14100.0
2008,2008,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,14100.0
2009,2009,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13500.0
2010,2010,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13200.0
2011,2011,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13500.0
2012,2012,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13100.0
2013,2013,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,12900.0
2014,2014,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,12800.0
2015,2015,ITF,Sud,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,13100.0
