Type,Country/area,Subregion,Region,Plant / Project name,Unit / Phase name,Plant / Project name (local),Plant / Project name (other),Capacity (MW),Status,Start year,Retired year,Technology,Fuel,Hydrogen production,Hydrogen capable,Country/area 1 (hydropower only),Country/area 2 (hydropower only),Country/area 1 Capacity (MW) (hydropower only),Country/area 2 Capacity (MW) (hydropower only),Owner,Parent,CHP,CCS,Conversion/replacement,Unit conversion year,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Captive Industry Type,Captive Industry Use,Captive Non Industry Use,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (state, province)",GEM location ID,GEM unit/phase ID,GEM.Wiki URL
hydropower,Italy,Southern Europe,Europe,San Fiorano hydroelectric plant,,,S. Fiorano,268.0,operating,1973,,pumped storage,,,,Italy,,268.0,0.0,Enel SPA,,,,,,,,,,,46.0442,10.3521,exact,,Brescia,,Lombardy,L602225,G602251,https://gem.wiki/San_Fiorano_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,San Floriano hydroelectric plant,,,S. Floriano,180.0,operating,1956,,run-of-river,,,,Italy,,180.0,0.0,SF Energy,,,,,,,,,,,46.0285,12.3016,exact,,Treviso,,Veneto,L602226,G602252,https://gem.wiki/San_Floriano_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,San Giacomo Sul Vomano hydroelectric plant,,,S. Giacomo Al Vomano,490.0,operating,,,pumped storage,,,,Italy,,490.0,0.0,Enel SPA,,,,,,,,,,,42.5607,13.5641,exact,,Teramo,,Abruzzo,L602227,G602253,https://gem.wiki/San_Giacomo_Sul_Vomano_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Santa Massenza hydroelectric plant,,,S. Massenza 1 Molveno,377.0,operating,1951,,pumped storage,,,,Italy,,377.0,0.0,Dolomiti Energia,,,,,,,,,,,46.0659,10.9805,exact,Vallelaghi,Provincia di Trento,,Trentino-Alto Adige/Südtirol,L602228,G602254,https://gem.wiki/Santa_Massenza_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Seled Glorenza hydroelectric plant,,,Glorenza,101.0,operating,1949,,conventional storage,,,,Italy,,101.0,0.0,Alperia,,,,,,,,,,,46.6738,10.5757,exact,,South Tyrol,,Trentino-Alto Adige/Südtirol,L602229,G602255,https://gem.wiki/Seled_Glorenza_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Somplago hydroelectric plant,,,,220.0,operating,1958,,run-of-river,,,,Italy,,220.0,0.0,A2A,,,,,,,,,,,46.3419,13.0678,exact,,Udine,,Friuli-Venezia Giulia,L602230,G602256,https://gem.wiki/Somplago_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Sondrio hydroelectric plant,,,,144.0,operating,1960,,unknown,,,,Italy,,144.0,0.0,Enel SPA,,,,,,,,,,,46.173,9.8876,exact,,Sondrio,,Lombardy,L602231,G602257,https://gem.wiki/Sondrio_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Soverzene hydroelectric plant,,,Achille Gaggia,214.0,operating,1951,,conventional storage,,,,Italy,,214.0,0.0,Enel SPA,,,,,,,,,,,46.2009,12.3023,exact,,Belluno,,Veneto,L602232,G602258,https://gem.wiki/Soverzene_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,St Anton hydroelectric plant,,,St Anton Bolzano,90.0,operating,1951,,conventional storage,,,,Italy,,90.0,0.0,Eisackwerk,,,,,,,,,,,46.5146,11.3581,exact,Ritten - Renon,South Tyrol,,Trentino-Alto Adige/Südtirol,L602233,G602259,https://gem.wiki/St_Anton_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Taio-Santa Giustina hydroelectric plant,,,Taio,161.0,operating,1951,,run-of-river,,,,Italy,,161.0,0.0,Edison SPA,,,,,,,,,,,46.3461,11.0614,exact,Ville d'Anaunia,Provincia di Trento,,Trentino-Alto Adige/Südtirol,L602234,G602260,https://gem.wiki/Taio-Santa_Giustina_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Taloro hydroelectric plant,,,Taloro 1,240.0,operating,1978,,pumped storage,,,,Italy,,240.0,0.0,Enel SPA,,,,,,,,,,,40.1278,9.1409,exact,,Nuoro,,Sardinia,L602235,G602261,https://gem.wiki/Taloro_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Timpagrande hydroelectric plant,,,,214.0,operating,,,run-of-river,,,,Italy,,214.0,0.0,A2A,,,,,,,,,,,39.1755,16.7803,exact,,Crotone,,Calabria,L602236,G602262,https://gem.wiki/Timpagrande_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Torbole hydroelectric plant,,,,110.0,operating,1963,,run-of-river,,,,Italy,,110.0,0.0,Dolomiti Energia,,,,,,,,,,,45.8816,10.8815,exact,,Provincia di Trento,,Trentino-Alto Adige/Südtirol,L602237,G602263,https://gem.wiki/Torbole_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Valpelline hydroelectric plant,,,,130.0,operating,1958,,conventional storage,,,,Italy,,130.0,0.0,CVA SPA,,,,,,,,,,,45.8257,7.3324,exact,,,,Aosta Valley,L602238,G602264,https://gem.wiki/Valpelline_hydroelectric_plant
