year,region,type,demand_GWh
2018,Molise,Fonti tradizionali,1500.0
2018,Piemonte,Fonti tradizionali,18200.0
2018,Piemonte,Fonti rinnovabili,3307.831635147
2018,Piemonte,Saldo import/export,-3479.7034
2018,Puglia,Fonti tradizionali,19200.0
2018,Puglia,Fonti rinnovabili,9300.004545791
2018,Puglia,Saldo import/export,-10175.038
2018,Sardegna,Fonti rinnovabili,3000.415785787
2018,Sardegna,Fonti tradizionali,8800.0
2018,Sardegna,Saldo import/export,-3161.862
2018,Sicilia,Saldo import/export,3148.3955
2018,Sicilia,Fonti tradizionali,10400.0
2018,Sicilia,Fonti rinnovabili,5200.12492912
2018,Toscana,Fonti tradizionali,7500.0
2018,Toscana,Fonti rinnovabili,7300.763212791
2018,Toscana,Saldo import/export,5164.807
2018,Trentino-Alto Adige,Saldo import/export,-4671.5
2018,Trentino-Alto Adige,Fonti rinnovabili,809.7569672
2018,Trentino-Alto Adige,Fonti tradizionali,1100.0
2018,Umbria,Fonti tradizionali,700.0
2018,Umbria,Saldo import/export,2387.4
2018,Umbria,Fonti rinnovabili,701.77231737
2018,Valle d'Aosta,Saldo import/export,-2341.3704
2018,Valle d'Aosta,Fonti tradizionali,0.0
2018,Valle d'Aosta,Fonti rinnovabili,3.4965583
2018,Veneto,Fonti rinnovabili,3904.169768321
2018,Veneto,Fonti tradizionali,8700.0
2018,Veneto,Saldo import/export,15427.237
2019,Abruzzo,Saldo import/export,286.8654
2019,Abruzzo,Fonti rinnovabili,1492.64136933
2019,Abruzzo,Fonti tradizionali,3059.1958
2019,Basilicata,Fonti tradizionali,459.50632
2019,Basilicata,Saldo import/export,-725.414
2019,Basilicata,Fonti rinnovabili,3350.086709271
2019,Calabria,Saldo import/export,-12376.222
2019,Calabria,Fonti tradizionali,13300.833
2019,Calabria,Fonti rinnovabili,3894.169451075
2019,Campania,Fonti rinnovabili,4920.616021087
2019,Campania,Fonti tradizionali,6451.3975
2019,Campania,Saldo import/export,6159.9634
2019,Emilia-Romagna,Saldo import/export,6199.985
2019,Emilia-Romagna,Fonti rinnovabili,5002.189603036
2019,Emilia-Romagna,Fonti tradizionali,17670.914
2019,Friuli-Venezia Giulia,Saldo import/export,1405.6262
2019,Friuli-Venezia Giulia,Fonti tradizionali,5900.0
2019,Friuli-Venezia Giulia,Fonti rinnovabili,1401.718704116
2019,Lazio,Saldo import/export,9246.294
2019,Lazio,Fonti rinnovabili,2470.064975844
