DATAFLOW,LAST UPDATE,freq,indic_is,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2012,57.54,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2013,61.15,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2014,61.21,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2015,58.44,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2016,57.14,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2017,57.88,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2018,57.98,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2019,58.77,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2020,54.64,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2021,57.7,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2010,68.63,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2011,52.31,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2012,56.1,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2013,65.84,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2014,60.41,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2015,61.68,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2016,59.83,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2017,57.32,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2018,63.44,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2019,69.52,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2020,65.58,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1_DCH,IT,2021,71.65,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A2,IT,2010,69.92,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A2,IT,2011,65.28,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A2,IT,2012,67.17,,
