time,time_label,geo,geo_label,unit,unit_label,siec,siec_label,nrg_bal,nrg_bal_label,freq,freq_label,OBS_VALUE
2023,2023,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,25613.54
2024,2024,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,29070.598
2010,2010,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2011,2011,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2012,2012,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2013,2013,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2014,2014,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2015,2015,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,2255.0
2016,2016,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,2169.0
2017,2017,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1968.261
2018,2018,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,2080.835
2019,2019,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1860.463
2020,2020,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1759.138
2021,2021,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1761.913
2022,2022,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1569.979
2023,2023,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1490.645
2024,2024,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1365.283
2010,2010,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,99420.0
2016,2016,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,95858.8
2017,2017,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,87398.082
2018,2018,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,92098.212
2019,2019,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,82717.273
2020,2020,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,78346.049
2021,2021,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,78631.651
2022,2022,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,70196.35
2023,2023,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,66805.839
2024,2024,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,61437.655
2010,2010,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2011,2011,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2012,2012,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2013,2013,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2014,2014,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2015,2015,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,988.0
2016,2016,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1018.001
2017,2017,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1044.695
2018,2018,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1015.835
2019,2019,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1017.867
2020,2020,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1001.757
2021,2021,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,1051.039
2022,2022,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,974.913
2023,2023,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,971.705
2024,2024,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,963.573
