dataset,source_csv,has_italy,rows,country_col,status,out
Education Expenditure US 1949-2013 - NCES (2014),Education Expenditure US 1949-2013 - NCES (2014).csv,False,0,Entity,ok,
"Education data deprivation (GEM Report (2017!18), UIS (2017))","Education data deprivation (GEM Report (2017!18), UIS (2017)).csv",True,2,Entity,ok,sources/owid-datasets/italy/Education_data_deprivation_GEM_Report_2017_18_UIS_2017_676ba175.csv
Educational Attainment - Barro Lee Education Dataset (2010) ,Educational Attainment - Barro Lee Education Dataset (2010) .csv,True,13,Entity,ok,sources/owid-datasets/italy/Educational_Attainment_-_Barro_Lee_Education_Dataset_2010_84fc2bbe.csv
Educational Outcomes – Hanushek and Woessmann (2012),Educational Outcomes – Hanushek and Woessmann (2012).csv,True,1,Entity,ok,sources/owid-datasets/italy/Educational_Outcomes_Hanushek_and_Woessmann_2012_50d2d8e3.csv
Electricity mix from BP & EMBER (2022),Electricity mix from BP & EMBER (2022).csv,True,57,Entity,ok,sources/owid-datasets/italy/Electricity_mix_from_BP_EMBER_2022_547784d3.csv
Electricity mix from BP & EMBER (2022) - archive,Electricity mix from BP & EMBER (2022) - archive.csv,True,57,Entity,ok,sources/owid-datasets/italy/Electricity_mix_from_BP_EMBER_2022_-_archive_c152550c.csv
"Elephant population (AfESG &AsESG, 2019)","Elephant population (AfESG &AsESG, 2019).csv",False,0,Entity,ok,
Emissions air pollutants over long-term (DEFRA & EPA),Emissions air pollutants over long-term (DEFRA & EPA).csv,False,0,Entity,ok,
Emissions intensity & value added by sector - Linus et al.,Emissions intensity & value added by sector - Linus et al..csv,False,0,Entity,ok,
Employment and Gender attitudes - Pew Research Centre (2012),Employment and Gender attitudes - Pew Research Centre (2012).csv,False,0,Entity,ok,
"Employment rate, ages 25-34, by education - Education at a Glance! OECD Indicators (2017)","Employment rate, ages 25-34, by education - Education at a Glance! OECD Indicators (2017).csv",True,1,Entity,ok,sources/owid-datasets/italy/Employment_rate_ages_25-34_by_education_-_Education_at_a_Glance_OECD_Indicators_2017_c9db69b1.csv
"Endemic and threatened invertebrate species by country (IUCN, 2020)","Endemic and threatened invertebrate species by country (IUCN, 2020).csv",True,1,Entity,ok,sources/owid-datasets/italy/Endemic_and_threatened_invertebrate_species_by_country_IUCN_2020_4948d17c.csv
"Endemic vertebrate species by country (IUCN, 2020)","Endemic vertebrate species by country (IUCN, 2020).csv",True,1,Entity,ok,sources/owid-datasets/italy/Endemic_vertebrate_species_by_country_IUCN_2020_590c56ac.csv
Energy Prices - BP Statistics (2016),Energy Prices - BP Statistics (2016).csv,False,0,Entity,ok,
Energy efficiency by passenger mode in USA (BTS),Energy efficiency by passenger mode in USA (BTS).csv,False,0,Entity,ok,
Energy imports (% energy use) - World Bank (2014),Energy imports (% energy use) - World Bank (2014).csv,True,55,Entity,ok,sources/owid-datasets/italy/Energy_imports_energy_use_-_World_Bank_2014_1b60c1f3.csv
Energy mix from BP (2020),Energy mix from BP (2020).csv,True,55,Entity,ok,sources/owid-datasets/italy/Energy_mix_from_BP_2020_dcac8c19.csv
Energy mix from BP (2021),Energy mix from BP (2021).csv,True,56,Entity,ok,sources/owid-datasets/italy/Energy_mix_from_BP_2021_86227fd9.csv
"Energy mix in the UK (DUKES, 2018)","Energy mix in the UK (DUKES, 2018).csv",False,0,Entity,ok,
Environmental impacts of food (Clark et al. 2022),Environmental impacts of food (Clark et al. 2022).csv,False,0,Entity,ok,
"Environmental impacts of food (Poore & Nemecek, 2018)","Environmental impacts of food (Poore & Nemecek, 2018).csv",False,0,,read_fail: No columns to parse from file,
"Estimated average age at marriage, by gender (UN and OECD)","Estimated average age at marriage, by gender (UN and OECD).csv",True,26,Entity,ok,sources/owid-datasets/italy/Estimated_average_age_at_marriage_by_gender_UN_and_OECD_a1ccaa51.csv
"Estimated average age at marriage, by gender (UN)","Estimated average age at marriage, by gender (UN).csv",True,17,Entity,ok,sources/owid-datasets/italy/Estimated_average_age_at_marriage_by_gender_UN_1a71f337.csv
Estimated funding and future needs for HIV in low and middle income countries - UNAIDS,Estimated funding and future needs for HIV in low and middle income countries - UNAIDS.csv,False,0,Entity,ok,
Estimated historical literacy rates - Buringh and Van Zanden (2009),Estimated historical literacy rates - Buringh and Van Zanden (2009).csv,True,4,Entity,ok,sources/owid-datasets/italy/Estimated_historical_literacy_rates_-_Buringh_and_Van_Zanden_2009_3bc36082.csv
Estimated percent of women who are married or in a union (UN),Estimated percent of women who are married or in a union (UN).csv,False,0,Entity,ok,
Ethnographic and Archaeological Evidence on Violent Deaths,Ethnographic and Archaeological Evidence on Violent Deaths.csv,False,0,Entity,ok,
"European vehicle passenger sales (ICCT, 2021)","European vehicle passenger sales (ICCT, 2021).csv",True,19,Entity,ok,sources/owid-datasets/italy/European_vehicle_passenger_sales_ICCT_2021_5c6b69d8.csv
Excess Mortality Data – OWID (2022),Excess Mortality Data – OWID (2022).csv,True,157,Entity,ok,sources/owid-datasets/italy/Excess_Mortality_Data_OWID_2022_1721cf32.csv
Executions by country - Amnesty International,Executions by country - Amnesty International.csv,False,0,Entity,ok,
Expected Years of Schooling - UNDP (2018),Expected Years of Schooling - UNDP (2018).csv,True,28,Entity,ok,sources/owid-datasets/italy/Expected_Years_of_Schooling_-_UNDP_2018_cba0f618.csv
Extensions in life expectancy (OWID calculations based on UN Population Division (2017 Revision)),Extensions in life expectancy (OWID calculations based on UN Population Division (2017 Revision)).csv,True,14,Entity,ok,sources/owid-datasets/italy/Extensions_in_life_expectancy_OWID_calculations_based_on_UN_Population_Division_2017_Revision_08e3de48.csv
Extreme Poverty 2030 Projections by SSP - Crespo et al. (2018),Extreme Poverty 2030 Projections by SSP - Crespo et al. (2018).csv,True,17,Entity,ok,sources/owid-datasets/italy/Extreme_Poverty_2030_Projections_by_SSP_-_Crespo_et_al_2018_811d6bd1.csv
Extreme Poverty Michail Moatsos (OECD),Extreme Poverty Michail Moatsos (OECD).csv,True,21,Entity,ok,sources/owid-datasets/italy/Extreme_Poverty_Michail_Moatsos_OECD_295d28ff.csv
Extreme Poverty in absolute numbers - Ravallion (2016) updated with World Bank (2019),Extreme Poverty in absolute numbers - Ravallion (2016) updated with World Bank (2019).csv,False,0,Entity,ok,
Extreme income poverty in Europe - Bradshaw and Mayhew (2011),Extreme income poverty in Europe - Bradshaw and Mayhew (2011).csv,True,1,Entity,ok,sources/owid-datasets/italy/Extreme_income_poverty_in_Europe_-_Bradshaw_and_Mayhew_2011_38057935.csv
FAO 2030-50 Projections of Arable Land - FAO (2017),FAO 2030-50 Projections of Arable Land - FAO (2017).csv,False,0,Entity,ok,
Family Benefits Public Spending - OECD (2016),Family Benefits Public Spending - OECD (2016).csv,True,14,Entity,ok,sources/owid-datasets/italy/Family_Benefits_Public_Spending_-_OECD_2016_6923cdde.csv
Fatal aviation accidents & fatalties - Aviation Safety Network (ASN),Fatal aviation accidents & fatalties - Aviation Safety Network (ASN).csv,False,0,Entity,ok,
Female and male life expectancy at birth - OWID based on UN Population Division (2017),Female and male life expectancy at birth - OWID based on UN Population Division (2017).csv,True,66,Entity,ok,sources/owid-datasets/italy/Female_and_male_life_expectancy_at_birth_-_OWID_based_on_UN_Population_Division_2017_460efe6b.csv
Female labor force participation rate - OWID (2017),Female labor force participation rate - OWID (2017).csv,True,47,Entity,ok,sources/owid-datasets/italy/Female_labor_force_participation_rate_-_OWID_2017_d29bd1f6.csv
Female weekly hours worked – OECD (2017),Female weekly hours worked – OECD (2017).csv,True,22,Entity,ok,sources/owid-datasets/italy/Female_weekly_hours_worked_OECD_2017_3fe41107.csv
Fertility - UN Population Division (2015 revision),Fertility - UN Population Division (2015 revision).csv,True,13,Entity,ok,sources/owid-datasets/italy/Fertility_-_UN_Population_Division_2015_revision_2401c23b.csv
"Fertility Rate (Selected Gapminder, v12) (2017)","Fertility Rate (Selected Gapminder, v12) (2017).csv",True,239,Entity,ok,sources/owid-datasets/italy/Fertility_Rate_Selected_Gapminder_v12_2017_f0c96464.csv
Fertility Rate - WC-IIASA (2017),Fertility Rate - WC-IIASA (2017).csv,False,0,Entity,ok,
"Fertility rate (Complete Gapminder, v12) (2017)","Fertility rate (Complete Gapminder, v12) (2017).csv",True,301,Entity,ok,sources/owid-datasets/italy/Fertility_rate_Complete_Gapminder_v12_2017_cfaf8ac8.csv
Fertilizer prices - World Bank (2017),Fertilizer prices - World Bank (2017).csv,False,0,Entity,ok,
Fertilizer use per hectare of land -FAO & Federico,Fertilizer use per hectare of land -FAO & Federico.csv,True,18,Entity,ok,sources/owid-datasets/italy/Fertilizer_use_per_hectare_of_land_-FAO_Federico_40fde514.csv
Firms with financial constraints - World Bank Enterprise Survey (2019),Firms with financial constraints - World Bank Enterprise Survey (2019).csv,False,0,Entity,ok,
Fish stocks (RAMLegacy),Fish stocks (RAMLegacy).csv,False,0,Entity,ok,
Fishery catch breakdown - Pauly and Zeller (2016),Fishery catch breakdown - Pauly and Zeller (2016).csv,False,0,Entity,ok,
Five year cancer survival rates - Allemani et al. ,Five year cancer survival rates - Allemani et al. .csv,True,3,Entity,ok,sources/owid-datasets/italy/Five_year_cancer_survival_rates_-_Allemani_et_al_121c3855.csv
Five-year cancer survival rates - National Cancer Institute,Five-year cancer survival rates - National Cancer Institute.csv,False,0,Entity,ok,
Food Prices expressed in hourly wages - U.S. Bureau of Labor Statistics (2015),Food Prices expressed in hourly wages - U.S. Bureau of Labor Statistics (2015).csv,False,0,Entity,ok,
"Food affordability (World Bank; FAO, 2022)","Food affordability (World Bank; FAO, 2022).csv",True,4,Entity,ok,sources/owid-datasets/italy/Food_affordability_World_Bank_FAO_2022_cec43013.csv
Food expenditure in the USA - USDA,Food expenditure in the USA - USDA.csv,False,0,Entity,ok,
"Food miles by transport method (Poore & Nemecek, 2018)","Food miles by transport method (Poore & Nemecek, 2018).csv",False,0,Entity,ok,
"Food supply (FAO, 2020)","Food supply (FAO, 2020).csv",True,57,Entity,ok,sources/owid-datasets/italy/Food_supply_FAO_2020_268152f9.csv
Food waste in the European Union - Europa (2010),Food waste in the European Union - Europa (2010).csv,True,1,Entity,ok,sources/owid-datasets/italy/Food_waste_in_the_European_Union_-_Europa_2010_9356a909.csv
Food waste in the supply chain (t) - WRAP (2015) & Europa (2015),Food waste in the supply chain (t) - WRAP (2015) & Europa (2015).csv,False,0,Entity,ok,
Forest Transition Phase (Pendrill et al. 2019),Forest Transition Phase (Pendrill et al. 2019).csv,True,1,Entity,ok,sources/owid-datasets/italy/Forest_Transition_Phase_Pendrill_et_al_2019_0cf8d3f1.csv
"Forest land, deforestation and change (FAO, 2020)","Forest land, deforestation and change (FAO, 2020).csv",True,31,Entity,ok,sources/owid-datasets/italy/Forest_land_deforestation_and_change_FAO_2020_fb97f4c8.csv
Forestry area - FAO (2017),Forestry area - FAO (2017).csv,False,0,Entity,ok,
Fossil fuel consumption per capita - BP & UN (2017 revision),Fossil fuel consumption per capita - BP & UN (2017 revision).csv,True,51,Entity,ok,sources/owid-datasets/italy/Fossil_fuel_consumption_per_capita_-_BP_UN_2017_revision_4ec659c5.csv
Fossil fuel production (BP & Shift (2020)),Fossil fuel production (BP & Shift (2020)).csv,True,120,Entity,ok,sources/owid-datasets/italy/Fossil_fuel_production_BP_Shift_2020_6780ea46.csv
Fossil fuel production BP & Shift (2022),Fossil fuel production BP & Shift (2022).csv,True,121,Entity,ok,sources/owid-datasets/italy/Fossil_fuel_production_BP_Shift_2022_c36e9607.csv
Friends and family support – OECD based on Gallup (2016),Friends and family support – OECD based on Gallup (2016).csv,True,1,Entity,ok,sources/owid-datasets/italy/Friends_and_family_support_OECD_based_on_Gallup_2016_172f6279.csv
"GDP growth from previous year, 2020 Q2 (Eurostat, OECD, National sources)","GDP growth from previous year, 2020 Q2 (Eurostat, OECD, National sources).csv",True,1,Entity,ok,sources/owid-datasets/italy/GDP_growth_from_previous_year_2020_Q2_Eurostat_OECD_National_sources_929c44ed.csv
"GDP in England (using BoE, 2017)","GDP in England (using BoE, 2017).csv",False,0,Entity,ok,
"GHG Emissions by Country and Sector (CAIT, 2020)","GHG Emissions by Country and Sector (CAIT, 2020).csv",True,27,Entity,ok,sources/owid-datasets/italy/GHG_Emissions_by_Country_and_Sector_CAIT_2020_37bd4b81.csv
"GHG Emissions by Country and Sector (CAIT, 2021)","GHG Emissions by Country and Sector (CAIT, 2021).csv",True,29,Entity,ok,sources/owid-datasets/italy/GHG_Emissions_by_Country_and_Sector_CAIT_2021_0b4beb49.csv
"GHG emissions per capita (EDGAR, 2019)","GHG emissions per capita (EDGAR, 2019).csv",True,43,Entity,ok,sources/owid-datasets/italy/GHG_emissions_per_capita_EDGAR_2019_f19d5902.csv
GISTEMP Temperature Anomaly,GISTEMP Temperature Anomaly.csv,True,138,Entity,ok,sources/owid-datasets/italy/GISTEMP_Temperature_Anomaly_e9aaed03.csv
Gas production - Etemad & Luciana,Gas production - Etemad & Luciana.csv,True,69,Entity,ok,sources/owid-datasets/italy/Gas_production_-_Etemad_Luciana_b5bfbb78.csv
Gender Inequality Index - Human Development Report (2015),Gender Inequality Index - Human Development Report (2015).csv,True,9,Entity,ok,sources/owid-datasets/italy/Gender_Inequality_Index_-_Human_Development_Report_2015_d20ac01e.csv
Gender Wage Gap – OECD (2017),Gender Wage Gap – OECD (2017).csv,True,15,Entity,ok,sources/owid-datasets/italy/Gender_Wage_Gap_OECD_2017_21026a03.csv
Gender preference for boss - Gallup (2017),Gender preference for boss - Gallup (2017).csv,False,0,Entity,ok,
Gender wage gap (assigning zeros for no work),Gender wage gap (assigning zeros for no work).csv,False,0,Entity,ok,
"Genuine saving estimates by various measures - Blum, Ducoing, McLaughlin (2017)","Genuine saving estimates by various measures - Blum, Ducoing, McLaughlin (2017).csv",False,0,Entity,ok,
German road deaths and accidents - destatis,German road deaths and accidents - destatis.csv,False,0,Entity,ok,
"Gini Coefficient, Equivalized Income After Tax and Transfers – Chartbook of Economic Inequality (201","Gini Coefficient, Equivalized Income After Tax and Transfers – Chartbook of Economic Inequality (201.csv",False,0,,read_fail: No columns to parse from file,
Gini Coefficients – OECD (2016),Gini Coefficients – OECD (2016).csv,True,10,Entity,ok,sources/owid-datasets/italy/Gini_Coefficients_OECD_2016_9dcd862c.csv
Gini coefficients for lifetime inequality - Peltzman (2009),Gini coefficients for lifetime inequality - Peltzman (2009).csv,False,0,Entity,ok,
Global BMI in females - NCDRisC (2017),Global BMI in females - NCDRisC (2017).csv,True,42,Entity,ok,sources/owid-datasets/italy/Global_BMI_in_females_-_NCDRisC_2017_f0a554bb.csv
Global BMI in males - NCD RisC (2017),Global BMI in males - NCD RisC (2017).csv,True,42,Entity,ok,sources/owid-datasets/italy/Global_BMI_in_males_-_NCD_RisC_2017_bb393b34.csv
Global CO2 emissions - CDIAC and UN Population,Global CO2 emissions - CDIAC and UN Population.csv,False,0,Entity,ok,
"Global Data Set on Education Quality (1965-2015) - Altinok, Angrist, and Patrinos (2018)","Global Data Set on Education Quality (1965-2015) - Altinok, Angrist, and Patrinos (2018).csv",True,9,Entity,ok,sources/owid-datasets/italy/Global_Data_Set_on_Education_Quality_1965-2015_-_Altinok_Angrist_and_Patrinos_2018_7d4752a8.csv
Global Hunger Index (2021),Global Hunger Index (2021).csv,False,0,Entity,ok,
Global Hunger Index in 1992 (listed 2017) (Global Hunger Index 2017),Global Hunger Index in 1992 (listed 2017) (Global Hunger Index 2017).csv,False,0,Entity,ok,
Global Hunger Index in 2017 (listed 2017) (Global Hunger Index 2017),Global Hunger Index in 2017 (listed 2017) (Global Hunger Index 2017).csv,False,0,Entity,ok,
Global Hunger Index- IFPRI (2018),Global Hunger Index- IFPRI (2018).csv,False,0,Entity,ok,
Global Population by Region with projections - HYDE (2016) & UN (2017),Global Population by Region with projections - HYDE (2016) & UN (2017).csv,False,0,Entity,ok,
Global Primary Energy Consumption - Vaclav Smil (2017) & BP Statistics (2020),Global Primary Energy Consumption - Vaclav Smil (2017) & BP Statistics (2020).csv,False,0,Entity,ok,
"Global Projection, Medium SSP2 - IIASA (2016)","Global Projection, Medium SSP2 - IIASA (2016).csv",False,0,Entity,ok,
Global Revenue Statistics Database - OECD (2018),Global Revenue Statistics Database - OECD (2018).csv,True,28,Entity,ok,sources/owid-datasets/italy/Global_Revenue_Statistics_Database_-_OECD_2018_017b5ff4.csv
Global Smallpox Cases,Global Smallpox Cases.csv,False,0,Entity,ok,
Global Tuberculosis Report! Case notifications - WHO (2019),Global Tuberculosis Report! Case notifications - WHO (2019).csv,True,39,Entity,ok,sources/owid-datasets/italy/Global_Tuberculosis_Report_Case_notifications_-_WHO_2019_51fb3d53.csv
Global Tuberculosis Report! TB burden estimates - WHO (2019),Global Tuberculosis Report! TB burden estimates - WHO (2019).csv,True,19,Entity,ok,sources/owid-datasets/italy/Global_Tuberculosis_Report_TB_burden_estimates_-_WHO_2019_0b99e243.csv
Global agricultural land by crop - FAO (2017),Global agricultural land by crop - FAO (2017).csv,False,0,Entity,ok,
Global airline traffic and capacity (ICAO),Global airline traffic and capacity (ICAO).csv,False,0,,read_fail: No columns to parse from file,
Global average temperature anomaly - Hadley Centre,Global average temperature anomaly - Hadley Centre.csv,False,0,Entity,ok,
Global child mortality (since 1800) - based on Gapminder and World Bank (2019),Global child mortality (since 1800) - based on Gapminder and World Bank (2019).csv,False,0,Entity,ok,
Global death rates from disasters (EMDAT; UN & HYDE),Global death rates from disasters (EMDAT; UN & HYDE).csv,False,0,Entity,ok,
Global education (OECD + IIASA (2016)),Global education (OECD + IIASA (2016)).csv,False,0,Entity,ok,
"Global extreme poverty! Present and past since 1820 (Moatsos in OECD, 2021)","Global extreme poverty! Present and past since 1820 (Moatsos in OECD, 2021).csv",True,21,Entity,ok,sources/owid-datasets/italy/Global_extreme_poverty_Present_and_past_since_1820_Moatsos_in_OECD_2021_59841778.csv
Global fish catch by end use (FishStat via SeaAroundUs),Global fish catch by end use (FishStat via SeaAroundUs).csv,True,69,Entity,ok,sources/owid-datasets/italy/Global_fish_catch_by_end_use_FishStat_via_SeaAroundUs_439b970e.csv
Global freshwater use since 1900 - IGB,Global freshwater use since 1900 - IGB.csv,False,0,Entity,ok,
Global literacy since 1800 (OWID based on OECD & UNESCO (2019)),Global literacy since 1800 (OWID based on OECD & UNESCO (2019)).csv,False,0,Entity,ok,
Global meat projections to 2050 - FAO,Global meat projections to 2050 - FAO.csv,False,0,Entity,ok,
Global plastic production (Geyer et al. and OECD),Global plastic production (Geyer et al. and OECD).csv,False,0,Entity,ok,
Global population trends - US Census Bureau (2017),Global population trends - US Census Bureau (2017).csv,False,0,Entity,ok,
Global primary energy share (Smil & BP),Global primary energy share (Smil & BP).csv,False,0,Entity,ok,
Global temperature anomaly - Met Office (HadCRUT4),Global temperature anomaly - Met Office (HadCRUT4).csv,False,0,Entity,ok,
Global warming potential factors (GWP100) - IPCC (2014),Global warming potential factors (GWP100) - IPCC (2014).csv,False,0,Entity,ok,
Global year of last polio case plus certification status - GPEI (2017),Global year of last polio case plus certification status - GPEI (2017).csv,True,108,Entity,ok,sources/owid-datasets/italy/Global_year_of_last_polio_case_plus_certification_status_-_GPEI_2017_03639937.csv
"Globalization over 5 centuries - PWT 9.0, Klasing & Milionis (2014), and Estevadeordal, Frantz, and ","Globalization over 5 centuries - PWT 9.0, Klasing & Milionis (2014), and Estevadeordal, Frantz, and .csv",False,0,Entity,ok,
Gold prices - Laurence & Williamson (2017),Gold prices - Laurence & Williamson (2017).csv,False,0,Entity,ok,
Google Mobility Trends (2020),Google Mobility Trends (2020).csv,True,180,Entity,ok,sources/owid-datasets/italy/Google_Mobility_Trends_2020_a432cc93.csv
Government Education Expenditure 1960-2010 - Szirmai (2015),Government Education Expenditure 1960-2010 - Szirmai (2015).csv,False,0,Entity,ok,
Government Expenditure – IMF based on Mauro et al. (2015),Government Expenditure – IMF based on Mauro et al. (2015).csv,True,132,Entity,ok,sources/owid-datasets/italy/Government_Expenditure_IMF_based_on_Mauro_et_al_2015_6db16073.csv
Government Revenue – Wallis (2000),Government Revenue – Wallis (2000).csv,False,0,Entity,ok,
"Government Spending – Roine, Vlachos, Waldenström (2009) and US Historical Tables (2016)","Government Spending – Roine, Vlachos, Waldenström (2009) and US Historical Tables (2016).csv",True,69,Entity,ok,sources/owid-datasets/italy/Government_Spending_Roine_Vlachos_Waldenström_2009_and_US_Historical_Tables_2016_367ee4f5.csv
Government Transparency index - Hollyer et al. (2014),Government Transparency index - Hollyer et al. (2014).csv,True,31,Entity,ok,sources/owid-datasets/italy/Government_Transparency_index_-_Hollyer_et_al_2014_65cab75a.csv
Government expenditure and learning outcomes,Government expenditure and learning outcomes.csv,True,1,Entity,ok,sources/owid-datasets/italy/Government_expenditure_and_learning_outcomes_7c2591f0.csv
Government spending – OECD (2017),Government spending – OECD (2017).csv,True,10,Entity,ok,sources/owid-datasets/italy/Government_spending_OECD_2017_17ffa82c.csv
Guinea Worm Cases - The Carter Center (2022),Guinea Worm Cases - The Carter Center (2022).csv,False,0,Entity,ok,
Guinea Worm Cases - WHO (2018),Guinea Worm Cases - WHO (2018).csv,False,0,Entity,ok,
Guinea worm WHO certification status - WHO 2018,Guinea worm WHO certification status - WHO 2018.csv,True,22,Entity,ok,sources/owid-datasets/italy/Guinea_worm_WHO_certification_status_-_WHO_2018_a001c3e9.csv
HALF Index (Land Use) - Alexander et al. (2016),HALF Index (Land Use) - Alexander et al. (2016).csv,True,1,Entity,ok,sources/owid-datasets/italy/HALF_Index_Land_Use_-_Alexander_et_al_2016_3a861dd2.csv
HadCRUT Temperature Anomaly,HadCRUT Temperature Anomaly.csv,True,168,Entity,ok,sources/owid-datasets/italy/HadCRUT_Temperature_Anomaly_be7a2d38.csv
Happiness predictors – World Happiness Report (2017),Happiness predictors – World Happiness Report (2017).csv,False,0,Entity,ok,
Health Coverage – ILO (2014),Health Coverage – ILO (2014).csv,True,1,Entity,ok,sources/owid-datasets/italy/Health_Coverage_ILO_2014_09931412.csv
Health Expenditure UK 1950-2012 - Office of Health Economics (2012),Health Expenditure UK 1950-2012 - Office of Health Economics (2012).csv,False,0,Entity,ok,
Health Expenditure US 1929-2013 Private - US Census and WDI (2013),Health Expenditure US 1929-2013 Private - US Census and WDI (2013).csv,False,0,Entity,ok,
Health Expenditure US 1929-2013 Public - US Census and WDI (2013),Health Expenditure US 1929-2013 Public - US Census and WDI (2013).csv,False,0,Entity,ok,
Health Expenditure and Financing - OECDstat (2017),Health Expenditure and Financing - OECDstat (2017).csv,True,46,Entity,ok,sources/owid-datasets/italy/Health_Expenditure_and_Financing_-_OECDstat_2017_6d6827e6.csv
Health Insurance Coverage (US) - US Current Population Survey (2014),Health Insurance Coverage (US) - US Current Population Survey (2014).csv,False,0,Entity,ok,
"Health provider absence rates - Chaudhury, Hammer, Kremer, Muralidharan, and Rogers (2006)","Health provider absence rates - Chaudhury, Hammer, Kremer, Muralidharan, and Rogers (2006).csv",False,0,Entity,ok,
Healthcare Access and Quality Index – IHME (2017),Healthcare Access and Quality Index – IHME (2017).csv,True,6,Entity,ok,sources/owid-datasets/italy/Healthcare_Access_and_Quality_Index_IHME_2017_e892eea8.csv
Healthy Life Expectancy - IHME,Healthy Life Expectancy - IHME.csv,True,27,Entity,ok,sources/owid-datasets/italy/Healthy_Life_Expectancy_-_IHME_4f1483c1.csv
Heights of Early Europeans - based on Hermanussen (2003) and the NCD RisC (2017),Heights of Early Europeans - based on Hermanussen (2003) and the NCD RisC (2017).csv,False,0,Entity,ok,
Hidden Hunger Index in pre-school children - Muthayya et al. (2013),Hidden Hunger Index in pre-school children - Muthayya et al. (2013).csv,False,0,Entity,ok,
Historical Index of Human Development (without GDP) - Prados de la Escosura,Historical Index of Human Development (without GDP) - Prados de la Escosura.csv,False,0,,read_fail: No columns to parse from file,
Historical Index of Human Development - Prados de la Escosura,Historical Index of Human Development - Prados de la Escosura.csv,False,0,,read_fail: No columns to parse from file,
"Historical World Population Prospects (UN, various years)","Historical World Population Prospects (UN, various years).csv",False,0,,read_fail: No columns to parse from file,
"Historical cost of computer memory and storage (John C. McCallum, 2022)","Historical cost of computer memory and storage (John C. McCallum, 2022).csv",False,0,,read_fail: No columns to parse from file,
Historical employment and output by sector – OWID (2017),Historical employment and output by sector – OWID (2017).csv,False,0,Entity,ok,
Historical gender equality index - How Was Life! (2014),Historical gender equality index - How Was Life! (2014).csv,False,0,Entity,ok,
Historical urban fraction estimates and total computed urban areas - HYDE 3.1 (2010),Historical urban fraction estimates and total computed urban areas - HYDE 3.1 (2010).csv,False,0,Entity,ok,
Historical world population comparison (various sources),Historical world population comparison (various sources).csv,False,0,,read_fail: No columns to parse from file,
Homelessness and Precarious Housing - OECD (2016),Homelessness and Precarious Housing - OECD (2016).csv,False,0,Entity,ok,
Homelessness prevalence - Toro et al. (2007),Homelessness prevalence - Toro et al. (2007).csv,True,1,Entity,ok,sources/owid-datasets/italy/Homelessness_prevalence_-_Toro_et_al_2007_b8880b5d.csv
Homicide rates in Europe over long-term (Eisner & IHME),Homicide rates in Europe over long-term (Eisner & IHME).csv,True,41,Entity,ok,sources/owid-datasets/italy/Homicide_rates_in_Europe_over_long-term_Eisner_IHME_4876c4da.csv
Homosexuality opinions – WVS (1981-2016),Homosexuality opinions – WVS (1981-2016).csv,True,1,Entity,ok,sources/owid-datasets/italy/Homosexuality_opinions_WVS_1981-2016_37f4ae00.csv
Homosexuality public opinion – Pew Research (2013),Homosexuality public opinion – Pew Research (2013).csv,True,3,Entity,ok,sources/owid-datasets/italy/Homosexuality_public_opinion_Pew_Research_2013_da930056.csv
"Household expenditure on Housing, water, electricity, gas and other fuels as a share of GDP - UN","Household expenditure on Housing, water, electricity, gas and other fuels as a share of GDP - UN.csv",True,48,Entity,ok,sources/owid-datasets/italy/Household_expenditure_on_Housing_water_electricity_gas_and_other_fuels_as_a_share_of_GDP_-_UN_4dddbb2c.csv
Households' actual and imputed rent as share of GDP – OECD,Households' actual and imputed rent as share of GDP – OECD.csv,True,24,Entity,ok,sources/owid-datasets/italy/Households_actual_and_imputed_rent_as_share_of_GDP_OECD_015c0243.csv
How Europeans spend their time - European Commission (2004),How Europeans spend their time - European Commission (2004).csv,False,0,Entity,ok,
Hubbert's Peak - Cavallo & EIA,Hubbert's Peak - Cavallo & EIA.csv,False,0,Entity,ok,
"Human Capital Index (World Bank, 2018)","Human Capital Index (World Bank, 2018).csv",True,1,Entity,ok,sources/owid-datasets/italy/Human_Capital_Index_World_Bank_2018_34717a05.csv
Human Capital in Long-Run - Lee-Lee (2016),Human Capital in Long-Run - Lee-Lee (2016).csv,True,39,Entity,ok,sources/owid-datasets/italy/Human_Capital_in_Long-Run_-_Lee-Lee_2016_44b59dbc.csv
Human Development Index - UNDP,Human Development Index - UNDP.csv,True,30,Entity,ok,sources/owid-datasets/italy/Human_Development_Index_-_UNDP_1f7bee14.csv
Human Height - NCD RisC (2017),Human Height - NCD RisC (2017).csv,True,101,Entity,ok,sources/owid-datasets/italy/Human_Height_-_NCD_RisC_2017_bef5ace7.csv
Human Height - University of Tuebingen (2015),Human Height - University of Tuebingen (2015).csv,True,18,Entity,ok,sources/owid-datasets/italy/Human_Height_-_University_of_Tuebingen_2015_6bbcdca4.csv
Human Rights Protection Score – Christopher Farris (2014) and Keith Schnakenberg,Human Rights Protection Score – Christopher Farris (2014) and Keith Schnakenberg.csv,True,66,Entity,ok,sources/owid-datasets/italy/Human_Rights_Protection_Score_Christopher_Farris_2014_and_Keith_Schnakenberg_e9a5e1de.csv
Human rights protection – Fariss et al. (2020),Human rights protection – Fariss et al. (2020).csv,True,74,Entity,ok,sources/owid-datasets/italy/Human_rights_protection_Fariss_et_al_2020_a1f7d46c.csv
