indicator_id,date,value,countryiso3code,unit,obs_status,indicator_name
EG.FEC.RNEW.ZS,1963,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1962,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1961,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1960,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.USE.PCAP.KG.OE,2025,,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2024,2231.202099939,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2023,2298.39093933589,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2022,2411.65172417311,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2021,2531.08698798735,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2020,2313.10006204514,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2019,2494.02659804115,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2018,2514.69811221783,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2017,2557.32535513975,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2016,2511.46353090755,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2015,2533.02354460955,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2014,2433.16257781775,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2013,2576.45615324387,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2012,2680.46208450702,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2011,2798.23628262725,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2010,2904.35856014464,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2009,2848.10100531328,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2008,3067.89962633863,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2007,3132.89653716264,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2006,3162.24131154867,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2005,3204.1351997897,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2004,3162.43494730256,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2003,3164.10814422149,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2002,3035.91851152815,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2001,3020.75373063924,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,2000,3012.48356350836,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,1999,2957.58654940452,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,1998,2913.20022573948,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,1997,2834.63680923621,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,1996,2796.38058021046,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,1995,2799.59479171327,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,1994,2578.66204057136,ITA,,,Energy use (kg of oil equivalent per capita)
EG.USE.PCAP.KG.OE,1993,2612.19400052933,ITA,,,Energy use (kg of oil equivalent per capita)
