year,region,province,activity,class,consumption_GWh
2015,Campania,Caserta,Manifatturiera non di base,Mezzi di trasporto,19.63765
2015,Campania,Caserta,Manifatturiera non di base,Legno e mobilio,6.866415
2015,Campania,Caserta,Manifatturiera non di base,Lavorazione plastica e gomma,49.189339
2015,Campania,Caserta,,,10.328312
2015,Campania,Caserta,Manifatturiera di base,Materiali da costruzione,130.295839
2015,Campania,Caserta,Manifatturiera di base,Cartaria,21.55305
2015,Campania,Caserta,Energia ed acqua,Elettricità e gas,36.615659
2015,Campania,Caserta,Manifatturiera di base,Siderurgica,3.3974
2015,Campania,Caserta,Energia ed acqua,Acquedotti,126.405647
2015,Campania,Caserta,Manifatturiera non di base,"Tessile, abbigl. e calzature",35.923587
2015,Campania,Caserta,Energia ed acqua,Raffinazione e cokerie,0.571429
2015,Campania,Napoli,,,26.465465
2015,Campania,Napoli,Manifatturiera non di base,"Tessile, abbigl. e calzature",56.95734
2015,Campania,Napoli,Manifatturiera di base,Metalli non ferrosi,3.459834
2015,Campania,Napoli,Manifatturiera di base,Siderurgica,12.03035
2015,Campania,Napoli,Manifatturiera non di base,Alimentare,280.25084
2015,Campania,Napoli,Manifatturiera di base,Cartaria,82.761929
2015,Campania,Napoli,Manifatturiera non di base,Lavorazione plastica e gomma,68.660549
2015,Campania,Napoli,Manifatturiera di base,Chimica,79.610902
2015,Campania,Napoli,Manifatturiera non di base,Altre manifatturiere,18.580556
2015,Campania,Napoli,Manifatturiera non di base,Legno e mobilio,22.415437
2015,Campania,Napoli,,,0.0
2015,Campania,Napoli,Manifatturiera non di base,Meccanica,150.799714
2015,Campania,Napoli,Manifatturiera non di base,Mezzi di trasporto,340.101082
2015,Campania,Napoli,Energia ed acqua,Raffinazione e cokerie,16.356559
2015,Campania,Napoli,Energia ed acqua,Acquedotti,203.1924
2015,Campania,Napoli,Energia ed acqua,Elettricità e gas,57.271208
2015,Campania,Napoli,Energia ed acqua,Estrazione combustibili,4.99055
2015,Campania,Napoli,Manifatturiera di base,Materiali da costruzione,55.156158
2015,Campania,Salerno,Manifatturiera di base,Siderurgica,6.566097
2015,Campania,Salerno,Energia ed acqua,Acquedotti,132.488518
2015,Campania,Salerno,Manifatturiera non di base,"Tessile, abbigl. e calzature",16.608168
2015,Campania,Salerno,Manifatturiera non di base,Meccanica,186.35903
