zone,eic,datetime,price_eur_mwh
IT-North,10Y1001A1001A73I,2026-04-26 07:15:00+02:00,140.85
IT-North,10Y1001A1001A73I,2026-04-26 07:30:00+02:00,134.54
IT-North,10Y1001A1001A73I,2026-04-26 07:45:00+02:00,116.3
IT-North,10Y1001A1001A73I,2026-04-26 08:00:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 08:15:00+02:00,114.47
IT-North,10Y1001A1001A73I,2026-04-26 08:30:00+02:00,118.13
IT-North,10Y1001A1001A73I,2026-04-26 08:45:00+02:00,114.22
IT-North,10Y1001A1001A73I,2026-04-26 09:00:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 09:15:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 09:30:00+02:00,114.99
IT-North,10Y1001A1001A73I,2026-04-26 09:45:00+02:00,106.89
IT-North,10Y1001A1001A73I,2026-04-26 10:00:00+02:00,57.48
IT-North,10Y1001A1001A73I,2026-04-26 10:15:00+02:00,102.09
IT-North,10Y1001A1001A73I,2026-04-26 10:30:00+02:00,59.73
IT-North,10Y1001A1001A73I,2026-04-26 10:45:00+02:00,55.03
IT-North,10Y1001A1001A73I,2026-04-26 11:00:00+02:00,16.51
IT-North,10Y1001A1001A73I,2026-04-26 11:15:00+02:00,19.0
IT-North,10Y1001A1001A73I,2026-04-26 11:30:00+02:00,31.01
IT-North,10Y1001A1001A73I,2026-04-26 11:45:00+02:00,29.88
IT-North,10Y1001A1001A73I,2026-04-26 12:00:00+02:00,30.0
IT-North,10Y1001A1001A73I,2026-04-26 12:15:00+02:00,29.88
IT-North,10Y1001A1001A73I,2026-04-26 12:30:00+02:00,29.88
IT-North,10Y1001A1001A73I,2026-04-26 12:45:00+02:00,29.88
IT-North,10Y1001A1001A73I,2026-04-26 13:00:00+02:00,25.0
IT-North,10Y1001A1001A73I,2026-04-26 13:15:00+02:00,25.0
IT-North,10Y1001A1001A73I,2026-04-26 13:30:00+02:00,25.0
IT-North,10Y1001A1001A73I,2026-04-26 13:45:00+02:00,25.0
IT-North,10Y1001A1001A73I,2026-04-26 14:00:00+02:00,21.01
IT-North,10Y1001A1001A73I,2026-04-26 14:15:00+02:00,17.0
IT-North,10Y1001A1001A73I,2026-04-26 14:30:00+02:00,16.51
IT-North,10Y1001A1001A73I,2026-04-26 14:45:00+02:00,17.0
IT-North,10Y1001A1001A73I,2026-04-26 15:00:00+02:00,16.51
IT-North,10Y1001A1001A73I,2026-04-26 15:15:00+02:00,16.51
IT-North,10Y1001A1001A73I,2026-04-26 15:30:00+02:00,16.0
IT-North,10Y1001A1001A73I,2026-04-26 15:45:00+02:00,16.51
IT-North,10Y1001A1001A73I,2026-04-26 16:00:00+02:00,20.0
IT-North,10Y1001A1001A73I,2026-04-26 16:15:00+02:00,25.03
