Società,Partita IVA,Sede Legale,Settori Attività
CONSORZIO ELETTRICO PENNES,00372670216,Via Pennes di Fuori 37 - 39058 Sarentino/Sarntal (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
CONSORZIO ENERGETICO VAL VENOSTA,01732180219,Via Caserma 1 - 39020 Glorenza/Glurns (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; f) acquisto e vendita all'ingrosso dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
Consorzio per i Servizi Territoriali del Noce - STN Val di Sole,02345700229,Piazza Regina Elena 17 - 38027 Malé (Trento)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica"
Cooperativa Azienda Elettrica Ridanna,02611880218,Frazione Ridanna 35 - 39040 Racines/Ratschings (Bolzano/Bozen), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
COOPERATIVA CENTRALE ELETTRICA FLERES,00188500219,Via Fleres 124 - 39041 Brennero/Brenner (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
COOPERATIVA ELETTRICA VALGIOVO,00402780217,Via Val Giovo - Val di Mezzo 48 - 39040 Racines/Ratschings (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
COOPERATIVA PER L'UTILIZZO DI FONTI ENERGETICHE NOVA LEVANTE,01652560218,Via Carezza 15 - 39056 Nova Levante/Welschnofen (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica
DEVAL,01013210073,Via Clavalité 8 - 11100 Aosta (Aosta)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica"
DISTRIBUZIONE ELETTRICA ADRIATICA S.p.A.,02605800420,Via Guazzatore 159 - 60027 Osimo (Ancona), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Attività diverse - altro
Duereti,13632560960,Corso di Porta Vittoria 4 - 20122 Milano (Milano), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica
e-distribuzione S.p.A.,05779711000,Via Domenico Cimarosa 4 - 00198 Roma (Roma)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro - ( Esempi non esaustivi
- vendita contatori elettronici
- servizio di aggregazione delle misure per conto di Terna
 ) "
Edyna Srl,02689370217,Via Lungo Isarco Sinistro 45/A - 39100 Bolzano/Bozen (Bolzano/Bozen), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale
Elektrowerk Preims GmbH,02591000217,Via Anello Nord 25 - 39031 Brunico/Bruneck (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
EUM - COOPERATIVA,02329400218,Via Aue 2 - 39013 Moso in Passiria/Moos in Passeier (Bolzano/Bozen)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
EUP,02672060213,Via Dei Carbonai 73/A - 39015 San Leonardo in Passiria/St. Leonhard in Passeier (Bolzano/Bozen), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
FAST WIND SPA,02866640796,Via VIA FIRENZE  57 - 88900 Crotone (Crotone), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica
GANNEBACH SRL / GMBH,00154910210,Via Santa Valburga 112 - 39016 Ultimo/Ulten (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
GERMANO INDUSTRIE ELETTRICHE S.R.L.,04353900725,Via ZUPPETTA 7/D - 70121 Bari (Bari), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
IDROELETTRICA VALCANALE DI MARIO GABRIELE MASSARUTTO E C. S.A.S.,00190600304,Via OFFICINE 8-10 - 33018 Tarvisio (Udine), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - altro
IMPRESA CAMPO ELETTRICITA' I.C.EL. S.R.L.,00581500816,Via CALVARIO 33 - 91023 Favignana (Trapani), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
IMPRESA ELETTRICA D'ANNA E BONACCORSI S.R.L.,00138700828,Via C. COLOMBO 3 - 90010 Ustica (Palermo)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
INRETE Distribuzione energia,03479071205,Viale Carlo Berti Pichat 2/4 - 40127 Bologna (Bologna)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
INTERESSENZA ELETTRICA VICINA ARMENTAROLA,00307790212,Strada Ninz - La Villa 63 - 39036 Badia/Abtei (Bolzano/Bozen), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
IRETI S.p.A.,01791490343,Via PIACENZA 54 - 16138 Genova (Genova)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - proprietari non utilizzatori di immobilizzazioni (art. 17 TIU); Attività diverse - altro; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione"
Kirchler srl,02916740216,Frazione St. Johann 3 - 39030 Valle Aurina/Ahrntal (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
Multiservizi Vipiteno S.r.l.,03216400212,Via Città Nuova 28 - 39049 Vipiteno/Sterzing (Bolzano/Bozen), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
OFFICINA ELETTRICA SAN VIGILIO DI MAREBBE S.P.A.,00099990210,Via Plan de Corones 38 - 39030 Marebbe/Enneberg (Bolzano/Bozen)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
Primiero Energia Reti S.r.l.,02404330223,Via Angelo Guadagnini 31 - 38054 Primiero San Martino di Castrozza (Trento)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
Rete2,18142471004,Piazzale Ostiense 2 - 00154 Roma (Roma)," d) distribuzione dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
RETI DI. VOGHERA S.R.L.,02722240187,Via Pozzoni 2 - 27058 Voghera (Pavia)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
RETI VALTELLINA VALCHIAVENNA S.R.L. UNIPERSONALE,01017590140,Via RAGAZZI DEL '99 19 - 23100 Sondrio (Sondrio)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
RetiPiù Srl,04152790962,Via Giusti 38 - 20832 Desio (Monza e della Brianza)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
S.EL.I.S. LAMPEDUSA S.P.A.,03620850820,Viale Strasburgo 189 - 90146 Palermo (Palermo), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
S.EL.I.S. LINOSA S.P.A.,03620870828,Viale Strasburgo 189 - 90146 Palermo (Palermo), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
S.EL.I.S. MARETTIMO S.P.A.,03620890826,Viale Strasburgo 189 - 90146 Palermo (Palermo), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
S.I.E.C.  SOC. COOP.,00042330142,Via Cappuccini  36 - 23022 Chiavenna (Sondrio), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
S.I.P.P.I.C. S.P.A.,00274940634,Via VIA ROSSINI  22 - 80128 Napoli (Napoli), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
S.MED.E. PANTELLERIA S.P.A.,03620860829,Viale Strasburgo 189 - 90146 Palermo (Palermo), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
SEA S.C.,02264800216,Strada Gran Ega 23 - 39030 San Martino in Badia/St. Martin in Thurn (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
SEA SOC. ELETTRICA DI FAVIGNANA S.P.A.,03349270821,Via Via Emerico Amari 8 - 90139 Palermo (Palermo), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
SECAB Società Cooperativa,00154050306,Via Pal Piccolo 31 - 33026 Paluzza (Udine)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
SET DISTRIBUZIONE S.P.A.,01932800228,Via Manzoni 24 - 38068 Rovereto (Trento), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica
SIE - SOCIETA IMPIANTI ELETTRICI S.R.L.,00394730485,Via CONDOTTA 10 - 50122 Firenze (Firenze), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
SOC. COOP. AZ. ELETTRICA MONGUELFO,00181300211,Via Rienza 7 - 39035 Monguelfo-Tesido/Welsberg-Taisten (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
SOC. ELETTRICA LIPARESE S.R.L.,00071220834,Via Via Francesco Crispi 86 - 98055 Lipari (Messina), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
SOCIETA ELETTRICA PONZESE,00091020594,Via Panoramica 34 - 04027 Ponza (Latina), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
SOCIETA' COOPERATIVA ELETTRICITA' BADIA,00181160219,Via STR. ADAN 17 - 39036 Badia/Abtei (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
SOCIETA' ELETTRICA IN MORBEGNO SOCIETA' COOPERATIVA PER AZIONI,00050450147,Vicolo SCENAIA 3 - 23017 Morbegno (Sondrio), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica
SOCIETA' ELETTRICA LA BRUZOLESE S.R.L.,00801350018,Via Cassanera 1 - 10050 Bruzolo (Torino), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
SOCIET` COOPERATIVA CANTUCCIO,00146430210,Via Caminata 100 - 39032 Campo Tures/Sand in Taufers (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
Società Cooperativa Elettrica di Distribuzione Campo Tures,01721750212,Via VON OTTENTAL 2C - 39031 Campo Tures/Sand in Taufers (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
"Società Cooperativa Energetica San Martino-Valdurna, in breve ""ERD""",02540760218,Via San Martino/Reinswald 129 - 39058 Sarentino/Sarntal (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
SOCIETÀ COOPERATIVA IDROELETTRICA DI FORNI DI SOPRA,00186960308,Via Fortunato De Santa 54 - 33024 Forni di Sopra (Udine)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica"
SOCIETÀ NOLANA PER IMPRESE ELETTRICHE,01238661217,Via Ottaviano Augusto 10 - 80035 Nola (Napoli), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
UNARETI SPA,12883450152,Via Lamarmora 230 - 25124 Brescia (Brescia)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - altro - ( prestazioni diverse per la società del gruppo A2A (manutenzioni, collaudi) ) "
V-RETI S.P.A.,03178060236,Contrà Pedemuro San Biagio 72 - 36100 Vicenza (Vicenza)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU)"
