Società,Partita IVA,Sede Legale,Settori Attività
Blu Reti Gas,03737190987,Via Mario Rigamonti 65 - 25047 Darfo Boario Terme (Brescia), p) distribuzione del gas naturale; q) misura del gas naturale
BRONI-STRADELLA PUBBLICA S.R.L.,02419480187,Via NAZIONALE 53 - 27049 Stradella (Pavia)," a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade"
BS Reti Gas S.r.l.,14525980968,Viale Enrico Forlanini 17 - 20134 Milano (Milano), p) distribuzione del gas naturale; q) misura del gas naturale
C.O.GAS S.R.L.,01273110690,Zona Industriale Contrada cucullo snc - 66026 Ortona (Chieti), p) distribuzione del gas naturale; q) misura del gas naturale
CAMASTRAGAS S.r.l.,01157650779,Piazza San Rocco 5 - 75017 Salandra (Matera), p) distribuzione del gas naturale; q) misura del gas naturale
CARECINA GAS S.R.L.,02135310692,Viale Raffaele Paolucci  3 - 66019 Torricella Peligna (Chieti), p) distribuzione del gas naturale; q) misura del gas naturale
CARONNO PERTUSELLA SERVIZI SRL UNIPERSONALE,02747290126,Piazza VITTORIO VENETO 6 - 21042 Caronno Pertusella (Varese), p) distribuzione del gas naturale; q) misura del gas naturale
CATANIA RETE GAS SPA,03542180876,Via CRISTOFORO COLOMBO 150 - 95121 Catania (Catania), p) distribuzione del gas naturale; q) misura del gas naturale
CBL DISTRIBUZIONE SRL,01967020189,Via ANTONIO GRAMSCI 12 - 27035 Mede (Pavia), p) distribuzione del gas naturale; q) misura del gas naturale
CENTRIA,02166820510,Via Igino Cocchi 14 - 52100 Arezzo (Arezzo)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate"
CGM DISTRIBUZIONE SRL,02052260763,Via Delle Magnolie n.83 - 85020 Atella (Potenza), p) distribuzione del gas naturale; q) misura del gas naturale
CH4 LIZZANO S.R.L.,00520551201,Via III Novembre 51 - 40042 Lizzano in Belvedere (Bologna), p) distribuzione del gas naturale; q) misura del gas naturale; t) vendita di gas naturale ai clienti finali a condizioni di libero mercato; s) vendita di gas naturale ai clienti finali nel servizio di tutela della vulnerabilità e servizi di ultima istanza
Cilento Reti Gas S.r.l.,07109000724,Via Sardegna - Zona Industriale s.n. - 70021 Acquaviva delle Fonti (Bari), p) distribuzione del gas naturale; q) misura del gas naturale
CITIGAS SOCIETA' COOPERATIVA S.P.A.,00230490674,Zona Industriale Artigianale Frazione Colleranesco Snc - 64021 Giulianova (Teramo), p) distribuzione del gas naturale; q) misura del gas naturale
CO.M.E.S.T. S.R.L,03641150820,Via ENZO ED ELVIRA SELLERIO 19 - 90141 Palermo (Palermo), p) distribuzione del gas naturale; q) misura del gas naturale
CO.RI.ME. COMPAGNIA RICERCHE METANO S.R.L.,01052520390,Via GIOACCHINO RASPONI 11 - 48121 Ravenna (Ravenna)," p) distribuzione del gas naturale; q) misura del gas naturale; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
