DATA_RILEVAZIONE,BENZINA,GASOLIO_AUTO,GPL,METANO,GNL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ
2010-03-22,"13,34","11,31","0,57",,,"5,69","6,32","7,36"
2010-03-29,1,"1,05","5,65",,,"4,63","8,34","11,18"
2010-04-12,"15,13","18,05","0,43",,,"24,22","13,5","12,61"
2010-04-19,"-0,5","3,27","-3,62",,,"5,72","5,38","5,41"
2010-04-26,"-2,45","7,19","0,22",,,"7,27","-0,23","-0,18"
2010-05-03,"14,97","17,22","0,02",,,"11,67","4,24","5,77"
2010-05-10,-5,"-1,89","0,2",,,"-8,6","-4,39","-0,97"
2010-05-17,"-5,05","5,3","1,1",,,"-3,22","2,81","0,01"
2010-05-24,-22,"-23,91",0,,,"-29,63","-28,71","-25,04"
2010-05-31,"-13,26","-11,02","0,04",,,"16,19","8,63","4,91"
2010-06-07,"12,85","13,83","-0,12",,,"4,44","2,93","5,34"
2010-06-14,4,"9,66","3,4",,,"18,39","9,73","7,95"
2010-06-21,"15,41","12,12","-3,79",,,"5,36","1,36","-4,83"
2010-06-28,"4,11","-3,79",0,,,"-11,16","-10,43",-3
2010-07-05,"-18,05","-28,33",0,,,"-25,45","-8,77","-9,75"
2010-07-12,"-5,28","-7,5","0,08",,,"-0,93","1,3","10,05"
2010-07-19,"-6,81","-4,73","-4,46",,,"-7,94","3,74","4,79"
2010-07-26,"-10,12","-5,75","-0,38",,,"6,58","4,91","3,39"
2010-08-02,"7,36","8,86","-0,41",,,"-3,89","-4,02","-4,87"
2010-08-09,"3,98","3,73","-0,71",,,"8,34","0,68","6,43"
2010-08-16,"-0,84","-1,54","-0,02",,,"6,49","23,12","-8,51"
2010-08-23,"-6,25","-1,7",0,,,"-17,45","-28,09","-1,24"
2010-08-30,"-9,33","-3,44","-0,57",,,"4,15","-8,39","0,15"
2010-09-06,"-0,45","1,41","2,05",,,"-6,32","-2,87","-14,72"
2010-09-13,"9,22","13,52","-0,39",,,"16,26","9,78","17,17"
2010-09-20,"5,61","5,34","0,7",,,"0,56","-7,44","-9,7"
2010-09-27,"-16,78","-11,89","-1,71",,,"-19,77","-7,89","-12,04"
2010-10-04,"-3,9","-4,23","0,59",,,"17,14","5,03","-4,41"
2010-10-11,"10,41","12,05","9,35",,,"1,63","-16,66","13,98"
2010-10-18,"4,36","5,43","-3,12",,,"3,72","16,54","2,97"
2010-10-25,"-7,26","-5,45","-0,11",,,"-10,02","-3,51","-14,45"
2010-11-01,"1,33","3,94","0,61",,,"0,96","3,51","11,97"
2010-11-08,"11,08","6,29",11,,,"5,44","4,26","4,71"
2010-11-15,"17,48","21,98","8,48",,,"23,87","13,55","12,91"
2010-11-22,"-4,35","-7,03","3,23",,,"-10,9","-11,63","-20,43"
2010-11-29,"7,81","11,53","9,81",,,"7,98","7,76","18,72"
2010-12-06,"27,15","25,2","26,56",,,"33,7","10,37","19,84"
2010-12-13,"7,25","9,62","15,41",,,"12,92","-5,12","-11,2"
2010-12-20,"-1,6","-2,73","4,55",,,"0,06","5,86","10,28"
2011-01-03,"19,78","19,62","9,07",,,"4,58","18,87","-2,27"
2011-01-10,"7,19","6,15","3,5",,,"8,03","16,09","8,15"
2011-01-17,"20,91","22,08","31,81",,,"21,56","-10,18","12,71"
2011-01-24,"4,91","9,1","4,9",,,"-2,16","1,33","-16,92"
2011-01-31,"-4,69","-3,56","1,45",,,"-5,55","-1,28","2,97"
2011-02-07,"0,16","0,96","0,09",,,"13,72","15,35","19,84"
2011-02-14,"0,07","0,83","-0,68",,,"9,33","11,96","6,39"
2011-02-21,"8,6","10,35","-0,48",,,"17,9","7,16","13,02"
2011-02-28,"33,32","34,06","0,23",,,"28,98","31,65","39,96"
2011-03-07,"16,9","24,58","3,41",,,"21,72","8,08","0,93"
2011-03-14,"6,61","5,94","1,07",,,"-0,36","6,96","18,1"
2011-03-21,"-4,33","2,65","-3,49",,,"3,68","-0,88","-1,16"
2011-03-28,"-5,79","3,31","-0,6",,,"-2,06","3,94","6,53"
2011-04-04,"1,65","0,6","-0,06",,,"1,45","2,92","0,23"
2011-04-11,"26,86","27,45","0,09",,,"14,12","14,74","22,57"
2011-04-18,"4,93","3,15","-1,99",,,"-8,44","-2,17","-4,41"
2011-04-25,"-3,47","-3,57","-0,56",,,"0,05","-9,52","-21,81"
2011-05-02,"1,14","0,61","-0,03",,,"-3,64","-7,5","-9,13"
2011-05-16,"-5,23","-16,36","-1,85",,,"-6,41","-0,82","0,7"
2011-05-23,"-12,49","-5,9","-2,29",,,"-2,11","-2,68","4,92"
2011-05-30,-1,"-0,08","-0,2",,,"13,72","7,64","11,34"
2011-06-06,"-2,02","-1,19","-14,5",,,"-4,09","-0,54","-1,46"
2011-06-13,"-4,71","2,06","-9,58",,,"7,61","9,02","21,01"
2011-06-20,"-1,23","7,84","-0,06",,,"-3,63","1,95","-5,67"
2011-06-27,"-22,52","-26,88","-6,43",,,"-24,93","-17,74","-19,56"
2011-07-04,"48,79","43,81","-2,9",,,"12,43","8,18","18,83"
2011-07-18,"12,66","15,43","-0,54",,,"10,36","7,71","8,06"
2011-07-25,"0,44","0,74","-0,97",,,"11,6","1,9","-1,94"
2011-08-01,"7,28","8,67","-2,26",,,"-1,04","-1,84","-4,08"
2011-08-08,"-4,78","-6,06","0,06",,,-16,"-15,44","-23,19"
2011-08-22,"-23,9","-25,25","-1,55",,,"-19,85","-14,32","-18,25"
2011-08-29,"-0,93","-1,04","-1,87",,,"10,6","12,47","6,37"
2011-09-05,"7,48","7,64","4,86",,,"11,68","9,75","16,67"
2011-09-12,"15,05","15,53","0,08",,,"10,8","10,59","12,33"
2011-09-19,"15,01","18,01","7,51",,,"9,07","3,09","4,5"
2011-09-26,"-1,43","2,99","-5,57",,,"-4,16","-10,65","-19,45"
2011-10-03,"-9,9","-3,29","-0,09",,,"-7,56","-3,59","-2,48"
2011-10-10,"-8,18","-2,9","-0,93",,,"1,05","1,59","6,66"
2011-10-17,"3,12","1,6","-1,01",,,"8,31","6,8","11,45"
2011-10-24,"8,04","9,83","-1,95",,,"8,18","1,29","-5,53"
2011-10-31,"-8,18","-1,69","-1,17",,,"3,63","2,53","0,81"
2011-11-07,"3,21","12,01","-0,54",,,"4,76","-2,72","11,08"
2011-11-14,"2,59","14,82","0,1",,,"23,6","18,47","22,09"
