qid,name,type,lat,lon,capacity_mw
Q116763988,Centrale idroelettrica di San Bernardo,centrale elettrica,46.345287,9.350167,
Q116763989,Centrale idroelettrica di San Foca,centrale elettrica,,,
Q116763992,Centrale idroelettrica di Villa Rinaldi,centrale elettrica,,,
Q118186149,ex centrale idroelettrica Guarnieri,centrale elettrica,45.857145677,11.660988915,
Q118398051,mulino di Mendatica,centrale elettrica,44.07296,7.81244,
Q120484028,centrale del Partidor,centrale elettrica,46.090815148,12.710143726,
Q120752859,Forze Idrauliche dell'Appennino Centrale,centrale elettrica,,,
Q121283912,centrale idroelettrica di Nembia,centrale elettrica,46.10584,10.93819,
Q121705032,centrale di Moline,centrale elettrica,46.067197297,11.762823762,
Q125400809,Diga di Suviana,centrale elettrica,44.13456,11.04086,
Q125487221,centrale idroelettrica di Suviana,centrale elettrica,44.13572,11.04049,
Q126681215,Centrale di Pozzena,centrale elettrica,46.397730555,11.078830555,
Q126938426,Diga di Barcis,centrale elettrica,46.187612564,12.596852301,
Q129652141,Centrale idroelettrica di Rovesca,centrale elettrica,46.05723,8.126804,
Q129652188,Centrale idroelettrica di Campliccioli,centrale elettrica,46.048149,8.073471,
Q129652398,Ex centrale idroelettrica di Sottofrua,centrale elettrica,46.402862,8.418027,
Q129653145,Centrale idroelettrica di Ponte,centrale elettrica,46.3804,8.424153,
Q129653567,Ex centrale idroelettrica di Valdo,centrale elettrica,46.373627,8.42558,
Q134577450,centrale idroelettrica di Nera Montoro,centrale elettrica,,,
Q135412681,centrale idroelettrica Collicello,centrale elettrica,45.916619016,11.721200738,
Q3664578,centrale termoelettrica di Moncalieri,centrale elettrica,44.99285,7.67555278,754
Q3664642,centrale termoelettrica EniPower di Brindisi,centrale elettrica,40.629214,18.0029016,1170
Q11963002,Q11963002,centrale elettrica,,,
Q11963074,Candela power plant,centrale elettrica,41.2018337,15.4762816,401
Q11968742,Ferrera Erbognone power plant,centrale elettrica,45.0994374,8.866788,1006
Q11971440,"Centrale termoelettrica ""Galileo Ferraris""",centrale elettrica,45.25206,8.19393,746
Q11995675,Pietrafitta power plant,centrale elettrica,42.995278,12.199444,365
Q11999586,Sarlux power plant,centrale elettrica,39.0780953,9.0222279,590
Q19375845,Isab Energy,centrale elettrica,37.1317066,15.2010495,576
Q19381523,Q19381523,centrale elettrica,,,
Q19386285,Enipower Ravenna power plant,centrale elettrica,44.4485512,12.2374445,961
Q19388252,Sermide power plant,centrale elettrica,45.0266584,11.2511304,1151
Q19391999,centrale di Tavazzano,centrale elettrica,45.332976,9.43526,1970
Q3664644,centrale termoelettrica Santa Barbara,centrale elettrica,43.56431389,11.47807778,391
Q12005579,centrale termoelettrica Ettore Maiorana,centrale elettrica,37.9684762,13.7517929,1052
Q19381733,Modugno power plant,centrale elettrica,41.1028328,16.7557275,810
Q19384929,Ostiglia power plant,centrale elettrica,45.0599482,11.1380397,1123
Q97179445,Porto Corsini power plant,centrale elettrica,44.4837505,12.2651786,704
Q97179623,centrale termoelettrica di Terni,centrale elettrica,42.5545108,12.6172936,95
Q97179670,centrale termoelettrica di Ferrara,centrale elettrica,44.8638925,11.5939412,761
Q97182233,centrale di mantova,centrale elettrica,45.1496149,10.8348938,812
Q97182406,Trapani power plant,centrale elettrica,37.8770184,12.5896955,212
Q97277641,centrale termoelettrica di Bussi sul Tirino,centrale elettrica,42.2001416,13.8396862,122
Q3664518,centrale Enel Federico II,centrale elettrica,40.56324,18.03182,
Q3664639,"centrale termoelettrica ""Andrea Palladio""",centrale elettrica,45.4305635,12.2467364,871
Q3664640,centrale termoelettrica Edipower di Brindisi,centrale elettrica,40.6438532,17.9789503,640
Q3664641,"centrale termoelettrica ""Eugenio Montale""",centrale elettrica,44.11083333,9.87444444,520
Q3664649,centrale termoelettrica di Torrevaldaliga Nord,centrale elettrica,42.127432,11.758437,1845
Q11989857,Monfalcone power plant,centrale elettrica,,,315
Q12003920,Sulcis power plant,centrale elettrica,39.1963096,8.4004104,432
Q17772520,centrale termoelettrica Fiume Santo,centrale elettrica,40.847838888,8.30515,534
Q140232274,centrale idroelettrica di Grigno,centrale elettrica,46.018192343,11.610191397,
Q140366986,Centrale idroelettrica di Les Perrères,centrale elettrica,45.907619025,7.616751719,
Q140466912,Centrale idroelettrica di Viverone,centrale elettrica,45.43015871,8.040095697,
Q139601888,ex centrale idroelettrica del Colombarolo,centrale elettrica,45.415503409,11.022006869,
