locode,nome_porto,merci_in_contenitori,merci_in_contenitori_note,merci_in_rinfuse_liquide,merci_in_rinfuse_liquide_note,merci_in_rinfuse_solide,merci_in_rinfuse_solide_note,merci_in_ro_ro,merci_in_ro_ro_note,merci_altro_carico,merci_altro_carico_note,n_tot_merci_trasportate,n_tot_merci_trasportate_note,n_tot_passeggeri_sbarcati,n_tot_passeggeri_sbarcati_note,n_tot_passeggeri_imbarcati,n_tot_passeggeri_imbarcati_note,n_tot_passeggeri,n_tot_passeggeri_note,merce_sbarcata,merce_sbarcata_note,merce_imbarcata,merce_imbarcata_note,tot_merce_imbarcata_sbarcata,tot_merce_imbarcata_sbarcata_note,anno_riferimento,lat,lon
ITGOA,Genova,18847,,16262,,1416,,7622,,902,,45049,,1169,,1159,,2328,,27882,,17168,,45050,,2016,44.4090972222,8.9179666667
ITGOA,Genova,22,,14,,2,,10,,3,,51,,1,,1,,2,,29683,,20979,,50662,,2017,44.4090972222,8.9179666667
ITGIT,Gioia Tauro,25874,,651,,213,,145,,389,,27272,,,N/D,,N/D,,N/D,4610,,11287,,15897,,2014,38.4468777778,15.901875
ITGIT,Gioia Tauro,25075,,916,,31,,117,,0,,26136,,,N/D,,N/D,,N/D,12691,,13446,,26137,,2015,38.4468777778,15.901875
ITGIT,Gioia Tauro,25914,,911,,44,,25,,72,,26966,,,N/D,,N/D,,N/D,13461,,13505,,26966,,2016,38.4468777778,15.901875
ITGIT,Gioia Tauro,22,,972,,59,,100,,141,,23,,,N/D,,N/D,,N/D,11460,,11873,,23334,,2017,38.433333,15.9
ITGAI,Golfo Aranci,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,230,,236,,466,,,N/D,,N/D,,N/D,2014,40.995075,9.6226027778
ITGAI,Golfo Aranci,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,287,,288,,575,,,N/D,,N/D,,N/D,2015,40.995075,9.6226027778
ITGAI,Golfo Aranci,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,337,,336,,673,,,N/D,,N/D,,N/D,2016,40.995075,9.6226027778
ITGAI,Golfo Aranci,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,383,,375,,758,,,N/D,,N/D,,N/D,2017,40.995075,9.6226027778
,Isola Del Giglio,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2017,42.35,10.9
,La Maddalena,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,740,,701,,1,,,N/D,,N/D,,N/D,2017,41.216667,9.4
ITSPE,La Spezia,10306,,689,,1740,,4,,121,,12861,,3,,11,,14,,3405,,5225,,8630,,2014,44.1045361111,9.843625
ITSPE,La Spezia,10248,,632,,1453,,2,,45,,15449,,9,,23,,32,,6048,,9400,,15448,,2015,44.1045361111,9.843625
ITSPE,La Spezia,12817,,862,,817,,0,,71,,14567,,0,,0,,0,,6660,,7907,,14567,,2016,44.1045361111,9.843625
ITSPE,La Spezia,13,,1,,1,,,N/D,240,,15,,,N/D,,N/D,,N/D,7346,,8117,,15463,,2017,44.1045361111,9.843625
,Levanzo,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,2017,38,12.333333
,Lipari,,N/D,2,,,N/D,4,,11,,2,,156,,73,,229,,1492,,276,,1768,,2017,38.466667,14.95
ITLIV,Livorno,3096,,8054,,609,,9610,,1625,,24476,,946,,952,,1898,,15584,,6795,,22379,,2014,43.56095,10.3014138889
