name,code,url,updatedAt,gasDayStart,gasDayEnd,sendOut,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,inventory.lng,inventory.gwh,dtmi.lng,dtmi.gwh
Italy,IT,IT,2023-10-26 15:29:09,2021-09-30,2021-10-01,176.3,514.5,-,-,-,[],E,212.97,1359.58,427.16,2726.95
Italy,IT,IT,2023-10-26 15:29:08,2021-09-29,2021-09-30,203.6,514.5,-,-,-,[],E,224.52,1432.76,427.16,2725.89
Italy,IT,IT,2023-10-26 15:29:07,2021-09-28,2021-09-29,217.3,514.5,-,-,-,[],E,122.16,785.11,427.16,2745.31
Italy,IT,IT,2023-10-26 15:29:06,2021-09-27,2021-09-28,217.7,514.5,-,-,-,[],E,154.88,993.91,427.16,2741.21
Italy,IT,IT,2023-10-26 15:29:05,2021-09-26,2021-09-27,194.3,514.5,-,-,-,[],C,187.71,1203.5,427.16,2738.73
Italy,IT,IT,2023-10-26 15:29:04,2021-09-25,2021-09-26,194.4,514.5,-,-,-,[],C,213.52,1368.53,427.16,2737.83
Italy,IT,IT,2023-10-26 15:29:04,2021-09-24,2021-09-25,217.7,514.5,-,-,-,[],C,104.94,681.54,427.16,2774.22
Italy,IT,IT,2023-10-26 15:29:03,2021-09-23,2021-09-24,249.2,514.5,-,-,-,[],C,137.59,889.93,427.16,2762.86
Italy,IT,IT,2023-10-26 15:29:02,2021-09-22,2021-09-23,327.6,514.5,-,-,-,[],C,184.21,1191.91,427.16,2763.89
Italy,IT,IT,2023-10-26 15:29:01,2021-09-21,2021-09-22,328.3,514.5,-,-,-,[],C,142.43,923.97,427.16,2771.07
Italy,IT,IT,2023-10-26 15:29:00,2021-09-20,2021-09-21,285.8,514.5,-,-,-,[],C,93.5,610.42,427.16,2788.74
Italy,IT,IT,2023-10-26 15:28:59,2021-09-19,2021-09-20,195.1,514.5,-,-,-,[],C,122.44,793.99,427.16,2770.02
Italy,IT,IT,2023-10-26 15:28:58,2021-09-18,2021-09-19,193.8,514.5,-,-,-,[],C,156.12,1010.49,427.16,2764.8
Italy,IT,IT,2023-10-26 15:28:57,2021-09-17,2021-09-18,267.1,514.5,-,-,-,[],C,191.44,1237.97,427.16,2762.28
Italy,IT,IT,2023-10-26 15:28:56,2021-09-16,2021-09-17,268.5,514.5,-,-,-,[],C,231.59,1497.82,427.16,2762.68
Italy,IT,IT,2023-10-26 15:28:56,2021-09-15,2021-09-16,268.2,514.5,-,-,-,[],C,272.28,1761.09,427.16,2762.84
Italy,IT,IT,2023-10-26 15:28:55,2021-09-14,2021-09-15,259.7,514.5,-,-,-,[],C,312.86,2023.7,427.16,2763.04
Italy,IT,IT,2023-10-26 15:28:54,2021-09-13,2021-09-14,259.9,514.5,-,-,-,[],C,275.58,1792.21,427.16,2778
Italy,IT,IT,2023-10-26 15:28:53,2021-09-12,2021-09-13,204.9,514.5,-,-,-,[],C,249.25,1630.18,427.16,2793.77
Italy,IT,IT,2023-10-26 15:28:53,2021-09-11,2021-09-12,229.7,514.5,-,-,-,[],C,280.12,1827.88,427.16,2787.37
Italy,IT,IT,2023-10-26 15:28:52,2021-09-10,2021-09-11,461,514.5,-,-,-,[],C,314.65,2050.19,427.16,2783.28
Italy,IT,IT,2023-10-26 15:28:51,2021-09-09,2021-09-10,465.5,514.5,-,-,-,[],C,352.41,2291.16,427.16,2777.14
Italy,IT,IT,2023-10-26 15:28:50,2021-09-08,2021-09-09,347.4,514.5,-,-,-,[],C,263.34,1728.28,427.16,2803.42
Italy,IT,IT,2023-10-26 15:28:49,2021-09-07,2021-09-08,281,514.5,-,-,-,[],C,150.97,961.57,427.16,2720.7
Italy,IT,IT,2023-10-26 15:28:48,2021-09-06,2021-09-07,269.4,514.5,-,-,-,[],C,188.68,1201.86,427.16,2720.94
Italy,IT,IT,2023-10-26 15:28:47,2021-09-05,2021-09-06,176.3,514.5,-,-,-,[],C,161.54,1031.93,427.16,2728.73
Italy,IT,IT,2023-10-26 15:28:46,2021-09-04,2021-09-05,175.7,514.5,-,-,-,[],C,114.67,734.92,427.16,2737.67
Italy,IT,IT,2023-10-26 15:28:45,2021-09-03,2021-09-04,241.5,514.5,-,-,-,[],C,140.92,901.38,427.16,2732.28
