name,code,url,updatedAt,gasDayStart,gasDayEnd,sendOut,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,inventory.lng,inventory.gwh,dtmi.lng,dtmi.gwh
Italy,IT,IT,2026-05-28 12:24:32,2015-03-10,2015-03-11,176.5,514.7,-,-,-,[],C,284.31,215.8,467.16,354.59
Italy,IT,IT,2026-05-28 12:24:32,2015-03-11,2015-03-12,176.4,514.7,-,-,-,[],C,257.55,189.1,467.16,343.0
Italy,IT,IT,2026-05-28 12:24:32,2015-03-12,2015-03-13,143.3,514.7,-,-,-,[],C,235.89,167.51,467.16,331.74
Italy,IT,IT,2026-05-28 12:24:32,2015-03-13,2015-03-14,143.4,514.7,-,-,-,[],C,214.13,145.8,467.16,318.09
Italy,IT,IT,2026-05-28 12:24:32,2015-03-14,2015-03-15,66.4,514.7,-,-,-,[],C,265.38,197.12,467.16,347.0
Italy,IT,IT,2026-05-28 12:24:32,2015-03-15,2015-03-16,66.3,514.7,-,-,-,[],C,338.49,270.29,467.16,373.04
Italy,IT,IT,2026-05-28 12:24:32,2015-03-16,2015-03-17,235.7,514.7,-,-,-,[],C,302.71,234.58,467.16,362.02
Italy,IT,IT,2026-05-28 12:24:33,2015-03-17,2015-03-18,158.8,514.7,-,-,-,[],C,278.84,210.76,467.16,353.1
Italy,IT,IT,2026-05-28 12:24:33,2015-03-18,2015-03-19,127.9,514.7,-,-,-,[],C,259.54,191.52,467.16,344.73
Italy,IT,IT,2026-05-28 12:24:33,2015-03-19,2015-03-20,130.2,514.7,-,-,-,[],C,239.83,171.89,467.16,334.82
Italy,IT,IT,2026-05-28 12:24:33,2015-03-20,2015-03-21,130.1,514.7,-,-,-,[],C,219.94,152.06,467.16,322.98
Italy,IT,IT,2026-05-28 12:24:33,2015-03-21,2015-03-22,176.3,514.7,-,-,-,[],C,262.43,194.62,467.16,346.45
Italy,IT,IT,2026-05-28 12:24:33,2015-03-22,2015-03-23,176.3,514.7,-,-,-,[],C,299.25,231.52,467.16,361.43
Italy,IT,IT,2026-05-28 12:24:33,2015-03-23,2015-03-24,236.9,514.7,-,-,-,[],C,263.3,195.67,467.16,347.17
Italy,IT,IT,2026-05-28 12:24:33,2015-03-24,2015-03-25,225.9,514.7,-,-,-,[],C,229.29,161.75,467.16,329.55
Italy,IT,IT,2026-05-28 12:24:33,2015-03-25,2015-03-26,231.5,514.7,-,-,-,[],C,194.19,126.76,467.16,304.94
Italy,IT,IT,2026-05-28 12:24:33,2015-03-26,2015-03-27,176.4,514.7,-,-,-,[],C,226.25,158.89,467.16,328.08
Italy,IT,IT,2026-05-28 12:24:33,2015-03-27,2015-03-28,231.1,514.7,-,-,-,[],C,271.6,204.29,467.16,351.38
Italy,IT,IT,2026-05-28 12:24:33,2015-03-28,2015-03-29,176.2,514.7,-,-,-,[],C,361.61,294.32,467.16,380.23
Italy,IT,IT,2026-05-28 12:24:34,2015-03-29,2015-03-30,176.3,514.7,-,-,-,[],C,362.74,295.49,467.16,380.55
Italy,IT,IT,2026-05-28 12:24:34,2015-03-30,2015-03-31,231.3,514.7,-,-,-,[],C,327.6,260.4,467.16,371.33
Italy,IT,IT,2026-05-28 12:24:34,2015-03-31,2015-04-01,231.4,514.7,-,-,-,[],C,243.82,176.68,467.16,338.52
Italy,IT,IT,2026-05-28 12:24:34,2015-04-01,2015-04-02,220.4,514.7,-,-,-,[],C,288.26,221.17,467.16,358.43
Italy,IT,IT,2026-05-28 12:24:34,2015-04-02,2015-04-03,220.5,514.7,-,-,-,[],C,321.68,254.65,467.16,369.82
Italy,IT,IT,2026-05-28 12:24:34,2015-04-03,2015-04-04,203.7,514.7,-,-,-,[],C,291.01,224.01,467.16,359.6
Italy,IT,IT,2026-05-28 12:24:34,2015-04-04,2015-04-05,143.4,514.7,-,-,-,[],C,269.35,202.43,467.16,351.09
Italy,IT,IT,2026-05-28 12:24:34,2015-04-05,2015-04-06,132.3,514.7,-,-,-,[],C,249.23,182.38,467.16,341.86
Italy,IT,IT,2026-05-28 12:24:34,2015-04-06,2015-04-07,137.7,514.7,-,-,-,[],C,228.3,161.5,467.16,330.47
Italy,IT,IT,2026-05-28 12:24:34,2015-04-07,2015-04-08,143.5,514.7,-,-,-,[],C,206.18,139.52,467.16,316.12
Italy,IT,IT,2026-05-28 12:24:34,2015-04-08,2015-04-09,209.3,514.7,-,-,-,[],C,174.4,108.65,467.16,291.04
Italy,IT,IT,2026-05-28 12:24:34,2015-04-09,2015-04-10,232.0,514.7,-,-,-,[],C,139.42,77.86,467.16,260.89
Italy,IT,IT,2026-05-28 12:24:35,2015-04-10,2015-04-11,219.6,514.7,-,-,-,[],C,122.54,63.3,467.16,241.32
Italy,IT,IT,2026-05-28 12:24:35,2015-04-11,2015-04-12,192.1,514.7,-,-,-,[],C,222.22,165.32,467.16,347.54
Italy,IT,IT,2026-05-28 12:24:35,2015-04-12,2015-04-13,192.1,514.7,-,-,-,[],C,193.02,138.49,467.16,335.18
Italy,IT,IT,2026-05-28 12:24:35,2015-04-13,2015-04-14,233.6,514.7,-,-,-,[],C,238.76,188.68,467.16,369.17
Italy,IT,IT,2026-05-28 12:24:35,2015-04-14,2015-04-15,220.5,514.7,-,-,-,[],C,263.09,215.53,467.16,382.71
Italy,IT,IT,2026-05-28 12:24:35,2015-04-15,2015-04-16,220.6,514.7,-,-,-,[],C,229.65,184.65,467.16,375.62
Italy,IT,IT,2026-05-28 12:24:35,2015-04-16,2015-04-17,235.8,514.7,-,-,-,[],C,194.16,153.89,467.16,370.27
Italy,IT,IT,2026-05-28 12:24:35,2015-04-17,2015-04-18,204.2,514.7,-,-,-,[],C,163.11,122.93,467.16,352.08
